cell_id,scenario,snr_db,beam_index,nmse_mmse,nmse_ai,attack_type,attack_severity,trust_score,step,ue_count,load,twin_fidelity,x_m,y_m
CELL_013,InH,14.01,29,0.002955,0.001,normal,0.0,0.9768,1,19,0.214,0.9599,208.4,342.8
CELL_014,RMa,14.98,16,0.002,0.001,normal,0.0,0.9599,1,21,0.765,0.9599,348.4,355.2
CELL_015,UMi,20.0,7,0.002,0.001,normal,0.0,0.9859,1,14,0.763,0.9599,516.8,330.5
CELL_016,FR2-mmWave,19.21,18,0.002,0.001,pilot_contamination,0.2355,0.7172,1,9,0.946,0.9458,618.9,358.8
CELL_017,RIS,-4.46,13,1.2,0.361788,jamming,0.6293,0.1042,1,29,0.365,0.8933,804.4,345.1
CELL_018,InH,11.69,25,0.018543,0.003605,normal,0.0,0.9527,1,20,0.89,0.9597,57.1,473.0
CELL_019,THz,13.19,26,0.002,0.001,normal,0.0,0.9798,1,14,0.871,0.9599,215.9,493.6
CELL_020,UMi,0.53,21,0.700387,0.213743,normal,0.0,0.9593,1,18,0.583,0.9429,364.9,507.3
CELL_021,UMi,15.04,24,0.002,0.001,false_csi_injection,0.3221,0.6406,1,10,0.401,0.9406,516.7,509.5
CELL_022,THz,13.27,30,0.014307,0.00413,normal,0.0,0.9862,1,15,0.259,0.9597,648.7,480.5
CELL_023,RMa,19.66,29,0.002,0.001,normal,0.0,0.9976,1,11,0.594,0.9599,791.8,495.5
CELL_000,FR2-mmWave,11.53,15,0.007755,0.002386,normal,0.0,0.9613,2,9,0.841,0.9598,41.4,49.6
CELL_001,RIS,13.93,18,0.002,0.001,normal,0.0,0.9602,2,39,0.831,0.9599,200.5,56.1
CELL_002,InH,19.15,29,0.048938,0.003634,csi_spoofing,0.9423,0.05,2,30,0.765,0.9032,352.9,56.0
CELL_003,THz,23.27,6,0.002,0.001,data_poisoning,0.1759,0.7843,2,24,0.607,0.9494,515.7,54.1
CELL_004,NTN-LEO,20.41,22,0.002,0.001,normal,0.0,0.9971,2,26,0.241,0.9599,634.9,35.7
CELL_005,FR2-mmWave,14.85,19,0.002,0.001,normal,0.0,0.9713,2,28,0.492,0.9599,812.3,46.3
CELL_006,FR2-mmWave,14.2,26,0.171382,0.041941,normal,0.0,0.974,2,11,0.395,0.9566,38.7,187.7
CELL_007,InH,31.75,17,0.002,0.001,normal,0.0,0.9513,2,16,0.787,0.9599,202.4,195.8
CELL_008,RIS,-0.56,6,1.2,0.882236,false_csi_injection,0.5253,0.4668,2,23,0.933,0.8579,346.2,183.2
CELL_009,NTN-LEO,19.21,30,0.035073,0.007002,normal,0.0,0.9539,2,16,0.527,0.9594,493.5,201.3
CELL_010,UMi,17.25,30,0.003765,0.001,normal,0.0,0.9764,2,10,0.472,0.9599,657.4,196.3
CELL_011,UMa,13.48,4,0.004053,0.001,pilot_contamination,0.6349,0.2294,2,21,0.684,0.9218,797.2,201.5
CELL_012,UMa,4.36,21,0.01378,0.003981,normal,0.0,0.9758,2,11,0.329,0.9597,65.7,341.1
CELL_013,RIS,9.34,7,0.028462,0.009464,normal,0.0,0.9658,2,39,0.666,0.9592,221.5,357.1
CELL_014,FR2-mmWave,-4.07,2,0.474087,0.147967,normal,0.0,0.9991,2,32,0.605,0.9482,356.3,340.2
CELL_015,InH,11.68,30,0.004286,0.001,normal,0.0,0.9805,2,31,0.423,0.9599,510.3,361.3
CELL_016,NTN-LEO,24.24,10,0.002,0.001,normal,0.0,0.9915,2,20,0.289,0.9599,639.3,356.1
CELL_017,THz,14.98,2,0.140788,0.023111,pilot_contamination,0.6384,0.2085,2,18,0.543,0.9198,813.2,330.3
CELL_018,FR2-mmWave,11.95,13,0.002,0.001,normal,0.0,0.9992,2,13,0.586,0.9599,68.7,502.6
CELL_019,InH,9.16,30,0.128001,0.028749,normal,0.0,0.9866,2,31,0.261,0.9577,201.2,493.6
CELL_020,THz,10.41,15,0.028841,0.009236,normal,0.0,0.9553,2,21,0.615,0.9593,349.5,493.6
CELL_021,FR2-mmWave,6.01,27,0.058221,0.019352,normal,0.0,0.9659,2,31,0.6,0.9585,501.5,493.3
CELL_022,RMa,15.1,21,0.031909,0.005084,normal,0.0,0.9611,2,12,0.514,0.9596,641.3,483.7
CELL_023,UMa,-1.32,27,0.042784,0.014228,normal,0.0,0.9976,2,33,0.481,0.9589,800.3,498.8
CELL_000,UMi,7.09,27,0.19114,0.068597,normal,0.0,0.9936,3,12,0.612,0.9545,54.9,66.5
CELL_001,RMa,1.95,23,0.053153,0.014968,normal,0.0,0.9793,3,8,0.723,0.9588,195.8,65.3
CELL_002,RIS,18.96,26,0.018804,0.00434,normal,0.0,0.9717,3,30,0.291,0.9597,334.3,52.4
CELL_003,UMa,19.67,18,0.014312,0.001924,normal,0.0,0.96,3,37,0.558,0.9598,505.0,61.1
CELL_004,InH,24.39,31,0.002,0.001,jamming,0.4516,0.3302,3,23,0.909,0.9328,645.8,40.0
CELL_005,THz,20.63,0,0.004041,0.001,normal,0.0,0.9639,3,38,0.867,0.9599,802.7,58.2
CELL_006,InH,13.18,5,0.002,0.001,normal,0.0,0.9747,3,8,0.388,0.9599,52.0,206.2
CELL_007,UMa,22.54,10,0.006148,0.001,jamming,0.7074,0.05,3,29,0.618,0.9175,206.4,206.7
CELL_008,RMa,18.9,22,0.002,0.001,normal,0.0,0.9659,3,28,0.432,0.9599,334.7,191.8
CELL_009,RMa,2.94,4,0.130698,0.036058,normal,0.0,0.9674,3,30,0.459,0.9571,493.9,207.6
CELL_010,NTN-LEO,1.16,5,0.050878,0.01477,normal,0.0,0.9681,3,20,0.202,0.9588,665.3,194.2
CELL_011,THz,18.66,28,0.05131,0.011989,normal,0.0,0.9728,3,9,0.615,0.959,796.3,174.6
CELL_012,UMa,21.38,10,0.002,0.001,normal,0.0,0.9872,3,32,0.927,0.9599,47.5,352.4
CELL_013,UMa,15.35,8,0.008796,0.001,pilot_contamination,0.451,0.4252,3,16,0.938,0.9329,204.2,350.0
CELL_014,RMa,22.69,9,0.013145,0.001,csi_spoofing,0.7722,0.1905,3,11,0.658,0.9136,345.5,364.4
CELL_015,RIS,18.66,5,0.003552,0.001,normal,0.0,0.9633,3,32,0.271,0.9599,503.7,341.5
CELL_016,InH,14.25,26,0.002,0.001,normal,0.0,0.9563,3,39,0.833,0.9599,650.9,326.1
CELL_017,UMa,18.08,6,0.010473,0.001949,normal,0.0,0.9832,3,33,0.211,0.9598,779.5,361.0
CELL_018,UMi,18.79,15,0.024117,0.005606,normal,0.0,0.9934,3,21,0.384,0.9596,44.8,493.8
CELL_019,UMi,12.94,21,0.028072,0.004984,normal,0.0,0.9528,3,15,0.819,0.9596,182.5,503.2
CELL_020,UMi,9.56,3,0.094953,0.025339,normal,0.0,0.9528,3,21,0.943,0.958,338.0,513.6
CELL_021,UMi,13.97,28,0.062166,0.013883,normal,0.0,0.9748,3,36,0.473,0.9589,499.3,475.6
CELL_022,NTN-LEO,-1.92,15,0.613286,0.142169,pilot_contamination,0.2536,0.6505,3,27,0.934,0.9334,648.3,497.4
CELL_023,NTN-LEO,11.92,26,0.002,0.001,normal,0.0,0.9624,3,31,0.386,0.9599,780.6,513.5
CELL_000,UMa,6.68,12,0.002,0.001,pilot_contamination,0.142,0.7802,4,25,0.307,0.9514,51.3,37.5
CELL_001,NTN-LEO,10.64,18,0.073555,0.020859,normal,0.0,0.9772,4,15,0.621,0.9583,183.9,50.7
CELL_002,THz,20.27,27,0.038197,0.005216,normal,0.0,0.9863,4,30,0.404,0.9596,344.0,67.6
CELL_003,UMa,-0.22,28,0.384569,0.075914,jamming,0.4148,0.3972,4,21,0.8,0.929,497.6,53.9
CELL_004,UMi,9.8,29,0.540636,0.118175,normal,0.0,0.9944,4,28,0.531,0.9505,649.0,70.3
CELL_005,FR2-mmWave,7.28,21,0.019204,0.004489,normal,0.0,0.9574,4,31,0.28,0.9596,789.8,45.4
CELL_006,NTN-LEO,15.17,21,0.107938,0.017512,normal,0.0,0.9859,4,8,0.464,0.9586,33.6,200.1
CELL_007,RMa,19.68,9,0.01307,0.001167,csi_spoofing,0.4864,0.4707,4,19,0.665,0.9307,192.0,222.4
CELL_008,UMa,6.35,23,0.040006,0.009994,normal,0.0,0.995,4,8,0.802,0.9592,350.8,220.8
CELL_009,FR2-mmWave,11.08,25,0.005263,0.001044,normal,0.0,0.9996,4,14,0.381,0.9599,496.7,199.3
CELL_010,RMa,10.37,15,0.06486,0.013652,normal,0.0,0.9512,4,13,0.379,0.9589,630.1,214.2
CELL_011,FR2-mmWave,4.38,15,0.294989,0.095322,normal,0.0,0.9882,4,21,0.596,0.9524,815.8,206.2
CELL_012,RIS,0.99,23,0.584936,0.126684,csi_spoofing,0.8156,0.1468,4,28,0.7,0.9009,68.0,344.4
CELL_013,UMa,12.7,2,0.026242,0.004869,normal,0.0,0.9607,4,12,0.426,0.9596,210.9,378.9
CELL_014,THz,12.07,13,0.543631,0.08737,jamming,0.9142,0.05,4,16,0.676,0.8982,353.2,329.6
CELL_015,RIS,-5.0,28,0.302926,0.113541,normal,0.0,0.9614,4,23,0.68,0.9509,492.9,349.8
CELL_016,THz,10.16,24,0.004541,0.001467,normal,0.0,0.9732,4,8,0.761,0.9599,652.2,356.7
CELL_017,FR2-mmWave,18.42,6,0.040046,0.005543,normal,0.0,0.9976,4,20,0.362,0.9596,806.6,356.7
CELL_018,RIS,0.73,18,0.40408,0.121762,normal,0.0,0.9798,4,33,0.391,0.9503,47.8,495.8
CELL_019,FR2-mmWave,14.18,14,0.040672,0.009959,normal,0.0,0.9541,4,35,0.653,0.9592,195.7,516.2
CELL_020,UMi,9.31,12,1.2,0.387715,jamming,0.6134,0.0943,4,22,0.301,0.8922,355.5,508.4
CELL_021,RIS,0.31,29,0.266015,0.082095,normal,0.0,0.9959,4,17,0.917,0.9534,503.7,511.3
CELL_022,RMa,4.04,14,0.550308,0.148175,normal,0.0,0.9881,4,13,0.657,0.9481,643.4,501.4
CELL_023,UMa,19.5,21,0.250634,0.022238,pilot_contamination,0.4739,0.4171,4,20,0.497,0.9298,803.0,528.5
CELL_000,RIS,6.3,1,0.002,0.001,normal,0.0,0.9733,5,27,0.676,0.9599,36.1,42.1
CELL_001,UMa,10.33,30,0.014627,0.001909,pilot_contamination,0.4806,0.3903,5,22,0.335,0.931,198.6,59.9
CELL_002,RIS,-4.49,12,0.46129,0.207073,normal,0.0,0.9708,5,36,0.753,0.9434,345.8,54.8
CELL_003,FR2-mmWave,2.22,23,0.51515,0.100289,data_poisoning,0.4771,0.473,5,32,0.801,0.9234,501.7,40.1
CELL_004,THz,16.0,18,0.002,0.001,normal,0.0,0.9548,5,29,0.594,0.9599,654.1,60.3
CELL_005,RIS,-5.0,2,0.028392,0.012745,normal,0.0,0.982,5,22,0.211,0.959,809.9,36.1
CELL_006,UMi,9.65,26,0.135793,0.021609,csi_spoofing,0.3063,0.6545,5,25,0.722,0.9399,60.7,204.2
CELL_007,FR2-mmWave,4.38,0,1.2,0.624914,false_csi_injection,0.7792,0.1786,5,30,0.909,0.8633,205.8,203.3
CELL_008,RIS,16.26,21,0.00645,0.00166,normal,0.0,0.9638,5,8,0.406,0.9599,369.1,217.0
CELL_009,InH,20.02,16,0.089118,0.01293,normal,0.0,0.9625,5,19,0.513,0.959,478.8,176.8
CELL_010,NTN-LEO,4.91,24,0.075809,0.019703,normal,0.0,0.9566,5,28,0.515,0.9584,636.2,218.2
CELL_011,RMa,14.5,12,0.002,0.001,false_csi_injection,0.5539,0.4168,5,16,0.528,0.9267,809.7,208.5
CELL_012,InH,12.01,7,0.002,0.001,pilot_contamination,0.1658,0.753,5,32,0.42,0.95,38.6,366.2
CELL_013,InH,20.49,22,0.07148,0.008822,normal,0.0,0.9586,5,8,0.534,0.9593,187.6,343.9
CELL_014,FR2-mmWave,20.24,6,0.092672,0.011599,normal,0.0,0.9601,5,23,0.252,0.9591,373.1,356.2
CELL_015,InH,6.74,27,0.277981,0.064952,normal,0.0,0.9572,5,39,0.466,0.9548,509.8,337.0
CELL_016,UMi,21.03,23,0.006359,0.001,pilot_contamination,0.5309,0.3297,5,28,0.288,0.9281,644.0,349.6
CELL_017,RMa,4.55,10,0.070707,0.018106,normal,0.0,0.9682,5,18,0.264,0.9586,806.3,336.9
CELL_018,InH,2.91,5,0.782978,0.321563,normal,0.0,0.9685,5,29,0.934,0.9343,29.8,488.2
CELL_019,RMa,14.53,8,0.167083,0.028643,normal,0.0,0.9888,5,12,0.322,0.9577,200.1,469.9
CELL_020,FR2-mmWave,21.06,11,0.002,0.001,jamming,0.272,0.5827,5,35,0.785,0.9436,343.7,514.0
CELL_021,UMi,7.09,3,0.143552,0.033817,normal,0.0,0.9954,5,22,0.891,0.9573,491.2,478.1
CELL_022,RIS,15.51,20,0.109986,0.022983,normal,0.0,0.9872,5,14,0.636,0.9582,648.7,497.0
CELL_023,RMa,4.64,7,0.015071,0.003825,normal,0.0,0.9932,5,23,0.67,0.9597,795.2,512.1
CELL_000,UMa,17.84,8,0.023457,0.003377,normal,0.0,0.9838,6,12,0.575,0.9597,45.4,50.1
CELL_001,FR2-mmWave,11.02,4,0.002985,0.001,normal,0.0,0.9901,6,26,0.304,0.9599,199.4,79.3
CELL_002,NTN-LEO,-5.0,2,0.093353,0.028697,normal,0.0,0.9922,6,19,0.786,0.9577,361.6,53.5
CELL_003,UMi,15.8,19,0.002894,0.001,normal,0.0,0.9637,6,10,0.203,0.9599,498.6,46.9
CELL_004,NTN-LEO,18.5,0,0.002751,0.001,normal,0.0,0.9917,6,21,0.325,0.9599,674.9,47.4
CELL_005,FR2-mmWave,14.34,14,0.07735,0.017002,normal,0.0,0.9802,6,19,0.893,0.9586,772.5,42.5
CELL_006,FR2-mmWave,3.67,4,0.491956,0.197303,normal,0.0,0.9767,6,39,0.914,0.9442,62.0,173.9
CELL_007,NTN-LEO,17.07,29,0.068933,0.012378,normal,0.0,0.9779,6,39,0.918,0.959,190.2,217.0
CELL_008,InH,9.53,12,0.002,0.001,normal,0.0,0.9637,6,8,0.274,0.9599,358.9,182.5
CELL_009,UMa,9.07,24,0.100435,0.022438,normal,0.0,0.9968,6,29,0.211,0.9582,487.5,201.3
CELL_010,RMa,25.46,11,0.002419,0.001,normal,0.0,0.99,6,32,0.647,0.9599,659.0,187.1
CELL_011,InH,2.61,5,1.2,0.424201,jamming,0.2527,0.6269,6,33,0.609,0.9109,799.1,184.0
CELL_012,FR2-mmWave,15.72,29,0.159385,0.04192,normal,0.0,0.9967,6,37,0.797,0.9566,47.0,362.5
CELL_013,FR2-mmWave,-3.04,13,0.600331,0.269488,normal,0.0,0.9822,6,28,0.553,0.9384,213.5,347.0
CELL_014,RIS,-5.0,12,0.042663,0.015991,normal,0.0,0.9861,6,8,0.293,0.9587,347.7,335.6
CELL_015,InH,17.61,0,0.024442,0.003707,normal,0.0,0.9552,6,9,0.596,0.9597,496.4,358.8
CELL_016,THz,11.97,29,0.005453,0.001161,normal,0.0,0.9592,6,33,0.906,0.9599,634.6,358.9
CELL_017,FR2-mmWave,18.84,6,0.717652,0.083644,adversarial,0.5869,0.3897,6,21,0.77,0.9181,806.8,369.4
CELL_018,THz,18.83,28,0.132093,0.030651,normal,0.0,0.9909,6,33,0.832,0.9575,62.3,487.2
CELL_019,InH,18.7,26,0.029911,0.004112,normal,0.0,0.9696,6,12,0.215,0.9597,191.3,493.2
CELL_020,RMa,15.49,2,0.049845,0.007844,normal,0.0,0.9616,6,37,0.209,0.9594,359.2,481.4
CELL_021,NTN-LEO,10.9,1,0.981449,0.186981,jamming,0.552,0.2037,6,26,0.517,0.9119,506.0,517.5
CELL_022,RMa,4.66,5,0.221538,0.064775,normal,0.0,0.9682,6,25,0.813,0.9548,631.4,482.2
CELL_023,UMa,5.78,8,0.308705,0.071111,csi_spoofing,0.1615,0.8359,6,19,0.743,0.9446,814.4,510.5
CELL_000,RMa,23.02,0,0.139724,0.014329,normal,0.0,0.9536,7,18,0.591,0.9589,54.6,38.8
CELL_001,RIS,14.18,15,0.010841,0.001884,normal,0.0,0.968,7,27,0.836,0.9598,203.1,48.3
CELL_002,RMa,10.84,20,0.695527,0.14141,normal,0.0,0.9799,7,26,0.339,0.9487,369.1,58.1
CELL_003,NTN-LEO,12.69,24,0.010451,0.001125,backdoor,0.8595,0.1114,7,35,0.618,0.9083,516.4,41.6
CELL_004,FR2-mmWave,20.33,2,0.004786,0.001,false_csi_injection,0.1758,0.7898,7,33,0.866,0.9494,654.9,44.7
CELL_005,RMa,27.27,16,0.002,0.001,normal,0.0,0.9537,7,37,0.614,0.9599,802.8,43.3
CELL_006,NTN-LEO,8.5,1,0.116852,0.016323,pilot_contamination,0.8888,0.05,7,25,0.485,0.9054,61.7,188.6
CELL_007,UMi,14.05,11,0.037578,0.004953,pilot_contamination,0.249,0.6995,7,39,0.542,0.9447,196.7,207.9
CELL_008,UMa,10.06,21,0.018278,0.003051,false_csi_injection,0.3714,0.6221,7,9,0.888,0.9375,361.2,205.3
CELL_009,UMa,8.32,27,1.2,0.359633,normal,0.0,0.9969,7,36,0.329,0.9312,485.5,201.8
CELL_010,InH,2.91,24,0.54536,0.081522,jamming,0.8777,0.05,7,28,0.902,0.9008,652.2,168.7
CELL_011,FR2-mmWave,16.04,7,0.002,0.001,normal,0.0,0.9635,7,34,0.772,0.9599,790.8,208.7
CELL_012,NTN-LEO,10.93,7,0.004404,0.001037,normal,0.0,0.9615,7,19,0.478,0.9599,58.0,350.8
CELL_013,InH,10.83,17,0.951262,0.124662,csi_spoofing,0.588,0.3775,7,19,0.415,0.9147,196.9,334.3
CELL_014,RMa,-0.61,19,0.268361,0.081639,normal,0.0,0.9545,7,8,0.9,0.9535,369.2,369.9
CELL_015,InH,30.15,27,0.002,0.001,normal,0.0,0.9583,7,36,0.587,0.9599,508.2,355.2
CELL_016,RIS,15.65,26,0.003466,0.001,normal,0.0,0.9677,7,22,0.871,0.9599,638.2,370.9
CELL_017,UMa,6.82,25,1.2,0.384732,normal,0.0,0.9758,7,28,0.467,0.9292,798.6,356.8
CELL_018,RMa,11.27,13,0.041661,0.007973,normal,0.0,0.9795,7,36,0.719,0.9594,32.0,498.7
CELL_019,FR2-mmWave,13.09,14,0.004409,0.001281,normal,0.0,0.9645,7,11,0.853,0.9599,208.4,501.6
CELL_020,THz,14.98,18,0.602012,0.121434,normal,0.0,0.9566,7,34,0.511,0.9503,356.4,501.3
CELL_021,UMa,17.46,30,0.002,0.001,data_poisoning,0.9019,0.0837,7,17,0.367,0.9058,512.4,504.7
CELL_022,RIS,9.32,10,0.713682,0.104513,jamming,0.8419,0.05,7,12,0.71,0.9011,642.2,473.9
CELL_023,RMa,4.44,8,0.151613,0.039724,normal,0.0,0.9738,7,33,0.637,0.9568,807.5,514.3
CELL_000,UMa,15.25,3,0.004004,0.001,jamming,0.5425,0.2365,8,23,0.696,0.9274,50.9,61.5
CELL_001,InH,14.03,4,0.18445,0.051744,normal,0.0,0.9571,8,17,0.689,0.9559,187.9,23.7
CELL_002,UMa,5.56,8,0.744933,0.182689,normal,0.0,0.9695,8,38,0.511,0.9454,340.6,42.7
CELL_003,InH,14.31,11,0.003122,0.001,normal,0.0,0.9686,8,31,0.875,0.9599,495.8,37.6
CELL_004,UMa,5.03,8,0.249636,0.064297,normal,0.0,0.9719,8,38,0.477,0.9549,657.6,38.2
CELL_005,UMa,26.24,5,0.048878,0.003165,pilot_contamination,0.7091,0.1078,8,9,0.629,0.9172,825.6,37.9
CELL_006,NTN-LEO,12.0,28,0.0175,0.00394,normal,0.0,0.9772,8,9,0.258,0.9597,56.7,195.4
CELL_007,InH,17.99,13,0.00382,0.001,normal,0.0,0.9938,8,23,0.715,0.9599,217.6,198.8
CELL_008,NTN-LEO,14.74,20,0.004172,0.001,normal,0.0,0.9842,8,18,0.569,0.9599,346.7,192.0
CELL_009,RMa,16.12,0,0.00618,0.001,normal,0.0,0.9875,8,35,0.909,0.9599,509.9,214.8
CELL_010,InH,31.74,20,0.002,0.001,normal,0.0,0.9776,8,39,0.575,0.9599,657.4,210.5
CELL_011,FR2-mmWave,1.16,27,1.2,0.224412,jamming,0.8292,0.05,8,30,0.492,0.8923,783.5,213.0
CELL_012,UMi,11.48,27,1.2,0.428348,data_poisoning,0.8233,0.1331,8,17,0.213,0.8763,50.6,369.9
CELL_013,UMa,17.02,4,0.002,0.001,normal,0.0,0.9856,8,11,0.649,0.9599,214.5,339.1
CELL_014,RIS,5.01,28,0.063543,0.016278,normal,0.0,0.9536,8,34,0.647,0.9587,361.3,362.2
CELL_015,RMa,1.41,1,1.2,0.392856,normal,0.0,0.9985,8,14,0.891,0.9286,511.9,345.2
CELL_016,RMa,14.14,8,0.011109,0.001859,normal,0.0,0.9699,8,11,0.88,0.9599,655.4,356.8
CELL_017,NTN-LEO,27.95,0,0.039918,0.003002,csi_spoofing,0.2045,0.7466,8,20,0.745,0.9475,797.4,329.1
CELL_018,RIS,12.14,7,0.025792,0.007761,normal,0.0,0.99,8,17,0.391,0.9594,38.1,524.2
CELL_019,UMa,4.67,10,0.021058,0.003582,jamming,0.3697,0.4635,8,13,0.408,0.9375,209.0,512.4
CELL_020,NTN-LEO,26.41,26,0.008222,0.00145,normal,0.0,0.9728,8,16,0.499,0.9599,362.4,504.5
CELL_021,RMa,1.59,18,0.456254,0.131674,normal,0.0,0.9756,8,28,0.936,0.9495,504.0,502.3
CELL_022,THz,17.13,2,0.176518,0.024721,jamming,0.7323,0.05,8,38,0.256,0.9141,644.1,499.2
CELL_023,InH,15.02,28,0.014225,0.003037,normal,0.0,0.9834,8,36,0.882,0.9598,792.6,505.2
CELL_000,UMa,15.18,24,0.0276,0.004724,normal,0.0,0.959,9,19,0.367,0.9596,56.4,50.4
CELL_001,RIS,19.5,6,0.117816,0.013356,data_poisoning,0.9065,0.0611,9,30,0.281,0.9045,211.8,56.2
CELL_002,UMi,5.09,11,0.002,0.001,normal,0.0,0.9777,9,21,0.605,0.9599,364.2,52.1
CELL_003,InH,21.35,23,0.002,0.001,normal,0.0,0.9636,9,17,0.543,0.9599,497.2,58.8
CELL_004,RMa,7.27,23,0.133769,0.03291,normal,0.0,0.9628,9,20,0.833,0.9574,650.6,51.2
CELL_005,THz,11.58,19,0.003402,0.001045,normal,0.0,0.951,9,31,0.764,0.9599,787.6,41.0
CELL_006,InH,19.05,5,0.002,0.001,false_csi_injection,0.7974,0.1616,9,14,0.219,0.9121,47.4,170.0
CELL_007,NTN-LEO,13.76,19,0.043769,0.007604,normal,0.0,0.9666,9,25,0.396,0.9594,197.5,207.0
CELL_008,UMi,19.41,28,0.26127,0.022615,pilot_contamination,0.5601,0.2873,9,36,0.604,0.9246,371.3,199.1
CELL_009,UMa,17.63,17,0.002,0.001,normal,0.0,0.9658,9,35,0.796,0.9599,503.9,211.3
CELL_010,RMa,22.93,31,0.002027,0.001,normal,0.0,0.9942,9,13,0.811,0.9599,655.9,196.3
CELL_011,THz,16.01,15,0.018353,0.003253,normal,0.0,0.968,9,35,0.734,0.9597,813.6,210.0
