timestamp,cell_id,power_consumption_w,cell_utilization,sleep_state,renewable_pct,carbon_intensity_gco2_kwh,traffic_demand_mbps
9,CELL_004,402.74,0.503,0,16.58,393.44,64.19
9,CELL_005,542.72,0.678,0,26.11,325.16,56.88
9,CELL_006,429.62,0.537,0,19.67,341.43,58.69
10,CELL_000,616.98,0.771,0,37.3,246.52,60.37
10,CELL_001,697.42,0.872,0,8.95,257.13,105.91
10,CELL_002,529.37,0.662,0,38.56,458.32,92.82
10,CELL_003,298.8,0.373,0,9.2,212.77,44.05
10,CELL_004,704.03,0.88,0,25.67,464.47,66.0
10,CELL_005,416.45,0.521,0,33.97,336.67,52.03
10,CELL_006,417.98,0.522,0,29.7,422.24,95.77
11,CELL_000,182.5,0.228,0,20.04,303.18,21.61
11,CELL_001,365.8,0.457,0,33.91,261.11,83.14
11,CELL_002,279.07,0.349,0,16.26,249.42,33.01
11,CELL_003,172.92,0.216,0,9.31,275.95,18.76
11,CELL_004,653.98,0.817,0,21.52,256.19,162.45
11,CELL_005,595.1,0.744,0,32.08,485.23,104.4
11,CELL_006,719.74,0.9,0,10.26,431.41,121.87
12,CELL_000,530.73,0.663,0,32.88,326.24,37.6
12,CELL_001,366.61,0.458,0,38.32,390.45,91.34
12,CELL_002,294.43,0.368,0,37.49,376.14,35.57
12,CELL_003,504.0,0.63,0,31.67,324.67,119.55
12,CELL_004,457.83,0.572,0,18.8,446.17,40.84
12,CELL_005,165.23,0.207,0,34.48,392.11,26.07
12,CELL_006,710.27,0.888,0,15.5,321.58,129.47
13,CELL_000,331.55,0.414,0,23.42,296.56,56.73
13,CELL_001,400.88,0.501,0,31.65,384.71,50.77
13,CELL_002,557.79,0.697,0,20.78,442.71,123.62
13,CELL_003,651.64,0.815,0,6.15,278.67,46.55
13,CELL_004,433.4,0.542,0,22.04,336.44,74.77
13,CELL_005,673.36,0.842,0,28.74,392.25,58.32
13,CELL_006,447.54,0.559,0,12.58,414.15,54.43
14,CELL_000,184.75,0.231,0,29.61,348.62,40.8
14,CELL_001,679.79,0.85,0,28.54,431.57,87.0
14,CELL_002,404.01,0.505,0,6.92,348.53,68.05
14,CELL_003,114.0,0.143,0,13.9,355.27,14.71
14,CELL_004,723.58,0.904,0,25.0,498.34,51.01
14,CELL_005,657.19,0.821,0,26.53,434.68,154.84
14,CELL_006,706.76,0.883,0,35.72,493.55,153.06
15,CELL_000,109.35,0.137,0,37.13,247.24,20.39
15,CELL_001,432.38,0.54,0,35.72,388.97,61.99
15,CELL_002,463.77,0.58,0,6.75,202.71,85.1
15,CELL_003,526.66,0.658,0,0.28,258.83,120.82
15,CELL_004,230.52,0.288,0,13.77,244.74,37.19
15,CELL_005,489.17,0.611,0,13.63,286.14,56.98
15,CELL_006,751.97,0.94,0,16.83,426.57,112.17
16,CELL_000,549.22,0.687,0,1.76,299.95,125.19
16,CELL_001,738.16,0.923,0,31.98,201.87,62.57
16,CELL_002,671.06,0.839,0,2.27,319.66,84.27
16,CELL_003,158.55,0.198,0,12.64,252.83,32.07
16,CELL_004,501.93,0.627,0,20.25,456.06,81.6
16,CELL_005,722.56,0.903,0,32.83,435.37,75.5
16,CELL_006,366.24,0.458,0,12.26,441.8,55.35
17,CELL_000,671.76,0.84,0,37.64,293.66,167.26
17,CELL_001,682.81,0.854,0,34.96,426.18,144.69
17,CELL_002,434.96,0.544,0,24.68,268.43,36.72
17,CELL_003,722.47,0.903,0,13.13,290.61,142.55
17,CELL_004,410.25,0.513,0,1.72,329.26,63.69
17,CELL_005,80.4,0.101,0,20.24,402.47,5.61
17,CELL_006,597.46,0.747,0,11.74,360.05,116.57
18,CELL_000,297.45,0.372,0,19.81,319.33,24.38
18,CELL_001,255.95,0.32,0,31.49,249.85,16.83
18,CELL_002,182.06,0.228,0,2.54,355.11,32.17
18,CELL_003,595.99,0.745,0,33.13,484.99,139.08
18,CELL_004,207.84,0.26,0,11.96,444.34,15.18
18,CELL_005,117.66,0.147,0,14.58,414.28,28.18
18,CELL_006,279.77,0.35,0,15.0,465.92,36.99
19,CELL_000,581.33,0.727,0,35.05,334.24,56.44
19,CELL_001,709.58,0.887,0,25.12,303.55,60.1
19,CELL_002,511.85,0.64,0,26.47,207.67,84.99
19,CELL_003,754.52,0.943,0,24.81,407.23,142.43
19,CELL_004,542.75,0.678,0,37.96,230.58,93.44
19,CELL_005,216.91,0.271,0,1.82,394.56,29.61
19,CELL_006,349.6,0.437,0,32.29,261.1,54.97
20,CELL_000,172.83,0.216,0,39.88,258.71,25.32
20,CELL_001,536.59,0.671,0,39.44,250.51,119.28
20,CELL_002,265.25,0.332,0,25.24,238.21,34.54
20,CELL_003,161.62,0.202,0,11.37,427.83,12.69
20,CELL_004,615.07,0.769,0,38.05,298.95,143.74
20,CELL_005,370.86,0.464,0,35.79,207.01,39.92
20,CELL_006,586.24,0.733,0,21.81,266.28,84.19
21,CELL_000,431.47,0.539,0,1.25,412.76,98.21
21,CELL_001,315.53,0.394,0,36.99,487.01,39.77
21,CELL_002,317.62,0.397,0,30.04,457.61,30.69
21,CELL_003,209.89,0.262,0,14.65,348.47,50.57
21,CELL_004,292.51,0.366,0,21.73,436.87,65.07
21,CELL_005,477.15,0.596,0,19.1,252.53,112.35
21,CELL_006,355.44,0.444,0,26.28,357.71,28.69
22,CELL_000,315.7,0.395,0,4.38,345.24,21.39
22,CELL_001,666.65,0.833,0,36.35,369.87,107.29
22,CELL_002,546.96,0.684,0,3.02,420.84,112.64
22,CELL_003,679.87,0.85,0,0.74,286.32,96.91
22,CELL_004,365.73,0.457,0,8.96,310.8,72.64
22,CELL_005,260.46,0.326,0,38.61,232.25,26.4
22,CELL_006,161.97,0.202,0,3.18,496.32,26.95
23,CELL_000,154.03,0.193,0,15.61,467.19,35.38
23,CELL_001,365.25,0.457,0,21.03,413.26,89.32
23,CELL_002,166.8,0.208,0,17.59,424.99,35.08
23,CELL_003,393.08,0.491,0,33.96,312.33,47.17
23,CELL_004,287.97,0.36,0,36.93,257.72,38.74
23,CELL_005,100.95,0.126,0,3.7,493.79,18.61
23,CELL_006,330.93,0.414,0,18.77,376.78,54.48
24,CELL_000,726.91,0.909,0,6.47,449.4,59.94
24,CELL_001,535.36,0.669,0,29.28,247.1,38.67
24,CELL_002,430.04,0.538,0,22.6,450.34,92.49
24,CELL_003,640.01,0.8,0,31.58,404.73,81.61
24,CELL_004,492.21,0.615,0,35.37,243.89,33.07
24,CELL_005,691.48,0.864,0,10.02,266.27,54.94
24,CELL_006,284.06,0.355,0,24.32,257.14,47.92
25,CELL_000,669.81,0.837,0,39.23,263.33,166.48
25,CELL_001,354.27,0.443,0,36.39,409.2,78.09
25,CELL_002,701.7,0.877,0,6.18,214.13,171.73
25,CELL_003,619.73,0.775,0,17.28,260.55,69.85
25,CELL_004,382.48,0.478,0,28.1,435.82,91.61
25,CELL_005,647.83,0.81,0,14.58,352.2,135.45
25,CELL_006,622.41,0.778,0,3.78,263.5,39.29
26,CELL_000,148.66,0.186,0,6.66,271.89,14.91
26,CELL_001,670.9,0.839,0,4.81,341.02,45.32
26,CELL_002,511.79,0.64,0,33.78,336.93,59.81
26,CELL_003,223.74,0.28,0,4.02,363.96,24.6
26,CELL_004,117.43,0.147,0,5.06,237.66,14.41
26,CELL_005,373.85,0.467,0,39.34,434.0,81.02
26,CELL_006,686.62,0.858,0,18.56,244.57,84.4
27,CELL_000,149.66,0.187,0,3.38,264.31,18.94
27,CELL_001,482.51,0.603,0,0.17,271.85,86.57
27,CELL_002,159.03,0.199,0,30.52,220.29,25.68
27,CELL_003,232.45,0.291,0,25.93,338.32,15.52
27,CELL_004,86.73,0.108,0,16.86,369.39,14.36
27,CELL_005,682.37,0.853,0,4.43,244.19,134.72
27,CELL_006,357.92,0.447,0,30.79,349.22,83.78
28,CELL_000,472.23,0.59,0,6.87,489.11,99.78
28,CELL_001,356.3,0.445,0,33.63,478.58,62.22
28,CELL_002,550.14,0.688,0,30.39,352.21,69.78
28,CELL_003,573.01,0.716,0,37.08,407.71,136.02
28,CELL_004,584.55,0.731,0,8.19,470.16,82.33
28,CELL_005,646.68,0.808,0,2.09,299.98,87.87
28,CELL_006,290.62,0.363,0,36.39,399.28,68.33
29,CELL_000,50.0,0.133,1,13.66,296.73,7.81
29,CELL_001,249.05,0.311,0,38.4,435.84,19.9
29,CELL_002,406.01,0.508,0,27.89,377.66,48.28
29,CELL_003,437.44,0.547,0,19.18,360.46,84.4
29,CELL_004,654.87,0.819,0,31.33,268.2,81.08
29,CELL_005,363.78,0.455,0,11.65,295.08,47.63
29,CELL_006,329.56,0.412,0,11.14,461.89,39.84
30,CELL_000,609.38,0.762,0,21.32,344.42,106.63
30,CELL_001,364.83,0.456,0,6.99,348.12,45.86
30,CELL_002,198.97,0.249,0,8.62,335.28,26.35
30,CELL_003,456.54,0.571,0,39.25,444.21,88.02
30,CELL_004,443.45,0.554,0,5.47,488.55,96.27
30,CELL_005,621.92,0.777,0,35.1,304.19,40.59
30,CELL_006,110.88,0.139,0,2.45,332.83,20.68
31,CELL_000,675.99,0.845,0,32.93,472.94,131.49
31,CELL_001,588.29,0.735,0,30.32,207.28,93.91
31,CELL_002,309.21,0.387,0,32.15,248.23,61.78
31,CELL_003,286.61,0.358,0,12.74,389.39,45.74
31,CELL_004,522.61,0.653,0,25.42,391.47,38.2
31,CELL_005,626.17,0.783,0,13.87,208.85,134.7
31,CELL_006,627.05,0.784,0,6.67,420.54,57.89
32,CELL_000,304.94,0.381,0,16.97,498.13,70.06
32,CELL_001,403.43,0.504,0,31.25,458.18,55.73
32,CELL_002,386.44,0.483,0,0.33,434.33,72.11
32,CELL_003,479.52,0.599,0,39.55,466.52,40.05
32,CELL_004,165.62,0.207,0,28.01,229.04,19.83
32,CELL_005,206.16,0.258,0,30.22,457.71,30.25
32,CELL_006,355.1,0.444,0,25.88,415.19,88.72
33,CELL_000,598.07,0.748,0,26.6,473.7,97.1
33,CELL_001,326.52,0.408,0,33.07,446.34,29.22
33,CELL_002,568.6,0.711,0,0.46,304.28,44.54
33,CELL_003,218.53,0.273,0,8.25,347.64,31.63
33,CELL_004,229.87,0.287,0,18.24,217.46,17.72
33,CELL_005,542.71,0.678,0,16.68,403.81,86.3
33,CELL_006,163.53,0.204,0,31.92,349.7,35.89
34,CELL_000,321.49,0.402,0,36.93,397.15,22.47
34,CELL_001,727.41,0.909,0,38.19,347.66,70.84
34,CELL_002,242.54,0.303,0,6.42,351.04,53.12
34,CELL_003,359.41,0.449,0,1.91,300.86,58.9
34,CELL_004,201.38,0.252,0,1.8,459.27,45.33
34,CELL_005,486.85,0.609,0,9.75,364.57,54.06
34,CELL_006,252.46,0.316,0,14.95,320.5,34.13
35,CELL_000,473.17,0.591,0,24.67,204.61,59.05
35,CELL_001,298.89,0.374,0,19.69,458.2,67.96
35,CELL_002,626.4,0.783,0,38.11,241.19,42.81
35,CELL_003,133.81,0.167,0,2.69,223.85,33.04
35,CELL_004,270.1,0.338,0,19.04,480.94,30.96
35,CELL_005,407.75,0.51,0,39.45,354.98,66.25
35,CELL_006,395.46,0.494,0,30.3,315.88,51.85
36,CELL_000,584.57,0.731,0,16.12,490.05,109.31
36,CELL_001,406.63,0.508,0,37.9,280.94,68.29
36,CELL_002,246.85,0.309,0,14.4,202.21,36.92
36,CELL_003,309.39,0.387,0,28.82,240.71,29.79
36,CELL_004,233.79,0.292,0,35.94,444.69,25.18
36,CELL_005,254.07,0.318,0,31.07,361.67,58.8
36,CELL_006,582.87,0.729,0,4.23,417.5,72.98
37,CELL_000,299.09,0.374,0,25.3,295.84,49.36
37,CELL_001,574.5,0.718,0,33.77,357.82,95.1
37,CELL_002,390.83,0.489,0,17.62,225.22,73.35
37,CELL_003,96.57,0.121,0,16.03,214.44,8.93
37,CELL_004,257.12,0.321,0,23.79,302.85,38.31
37,CELL_005,122.33,0.153,0,30.03,359.25,12.65
37,CELL_006,416.06,0.52,0,4.91,348.02,43.67
38,CELL_000,690.19,0.863,0,9.83,237.75,43.99
38,CELL_001,89.12,0.111,0,3.28,398.1,5.76
38,CELL_002,244.26,0.305,0,8.19,483.5,50.03
38,CELL_003,477.06,0.596,0,6.8,488.68,77.86
38,CELL_004,126.89,0.159,0,9.08,469.34,14.28
38,CELL_005,697.54,0.872,0,29.91,488.76,101.81
38,CELL_006,429.46,0.537,0,38.82,460.49,68.89
39,CELL_000,377.53,0.472,0,2.51,322.78,29.38
39,CELL_001,508.73,0.636,0,37.7,247.52,91.14
39,CELL_002,320.47,0.401,0,23.79,431.68,73.5
39,CELL_003,716.8,0.896,0,5.85,438.86,168.08
39,CELL_004,421.22,0.527,0,3.91,319.65,44.35
39,CELL_005,271.72,0.34,0,28.76,409.27,67.34
39,CELL_006,128.29,0.16,0,28.35,415.81,12.41
40,CELL_000,140.87,0.176,0,36.71,239.57,25.65
40,CELL_001,435.73,0.545,0,22.35,276.49,32.69
40,CELL_002,135.11,0.169,0,0.21,265.91,9.84
40,CELL_003,223.13,0.279,0,21.43,319.0,50.61
40,CELL_004,285.57,0.357,0,33.91,313.64,55.3
40,CELL_005,142.89,0.179,0,29.94,242.78,12.0
40,CELL_006,691.9,0.865,0,14.35,487.37,77.64
41,CELL_000,351.43,0.439,0,0.83,452.85,65.24
41,CELL_001,524.35,0.655,0,9.08,454.54,34.86
41,CELL_002,205.42,0.257,0,27.18,436.44,47.64
41,CELL_003,579.89,0.725,0,22.04,231.67,129.44
41,CELL_004,446.09,0.558,0,6.46,462.39,111.0
41,CELL_005,476.75,0.596,0,21.81,241.45,50.8
41,CELL_006,150.24,0.188,0,10.18,387.77,33.7
42,CELL_000,276.51,0.346,0,8.26,211.79,59.16
42,CELL_001,540.86,0.676,0,33.26,471.52,107.43
42,CELL_002,609.26,0.762,0,23.18,243.65,64.33
42,CELL_003,613.5,0.767,0,32.43,225.11,99.07
42,CELL_004,89.45,0.112,0,20.47,479.19,18.35
42,CELL_005,754.96,0.944,0,13.83,325.81,102.68
42,CELL_006,217.91,0.272,0,14.74,296.09,45.72
43,CELL_000,153.83,0.192,0,9.62,373.06,15.41
43,CELL_001,133.51,0.167,0,22.77,279.45,10.19
43,CELL_002,512.43,0.641,0,20.81,362.55,120.69
43,CELL_003,106.07,0.133,0,6.31,470.88,12.0
43,CELL_004,582.04,0.728,0,20.54,424.73,54.63
43,CELL_005,423.54,0.529,0,39.08,303.37,97.23
43,CELL_006,614.08,0.768,0,4.51,331.08,123.08
44,CELL_000,284.22,0.355,0,24.28,232.24,60.65
44,CELL_001,437.15,0.546,0,21.64,436.32,69.17
44,CELL_002,141.73,0.177,0,17.38,380.48,14.94
44,CELL_003,253.27,0.317,0,7.4,392.93,50.91
44,CELL_004,186.06,0.233,0,36.1,411.89,46.14
44,CELL_005,215.9,0.27,0,24.26,306.17,23.8
44,CELL_006,394.93,0.494,0,33.74,422.09,34.66
45,CELL_000,757.43,0.947,0,13.42,293.87,60.8
45,CELL_001,730.84,0.914,0,33.32,319.34,89.41
45,CELL_002,745.9,0.932,0,27.53,286.64,63.87
45,CELL_003,612.4,0.765,0,4.31,343.79,148.11
45,CELL_004,707.21,0.884,0,15.02,423.14,161.75
45,CELL_005,745.88,0.932,0,29.32,205.18,171.09
45,CELL_006,265.42,0.332,0,24.41,493.83,60.7
46,CELL_000,326.79,0.408,0,3.21,322.08,72.24
46,CELL_001,323.44,0.404,0,7.58,304.22,24.88
46,CELL_002,199.31,0.249,0,12.17,346.28,14.8
46,CELL_003,656.04,0.82,0,29.37,418.03,56.76
46,CELL_004,312.66,0.391,0,32.63,338.13,64.68
46,CELL_005,625.63,0.782,0,20.77,253.32,52.81
46,CELL_006,137.34,0.172,0,38.94,372.95,28.05
47,CELL_000,633.74,0.792,0,28.77,291.84,69.78
47,CELL_001,490.87,0.614,0,3.76,236.43,69.28
47,CELL_002,112.31,0.14,0,18.37,393.47,16.65
47,CELL_003,193.37,0.242,0,20.29,466.56,33.35
47,CELL_004,227.08,0.284,0,11.83,224.35,52.86
47,CELL_005,652.51,0.816,0,15.76,492.82,116.65
47,CELL_006,222.47,0.278,0,17.46,305.63,36.46
48,CELL_000,315.87,0.395,0,0.37,329.42,22.28
48,CELL_001,622.42,0.778,0,17.76,431.34,136.31
48,CELL_002,480.56,0.601,0,2.41,200.5,32.76
48,CELL_003,354.62,0.443,0,33.64,446.84,44.29
48,CELL_004,507.31,0.634,0,36.51,227.54,71.59
48,CELL_005,647.69,0.81,0,26.95,216.99,122.72
48,CELL_006,411.82,0.515,0,15.67,336.59,100.43
49,CELL_000,187.99,0.235,0,27.2,320.11,26.73
49,CELL_001,526.75,0.658,0,39.02,311.61,113.72
49,CELL_002,367.15,0.459,0,19.73,348.37,79.29
49,CELL_003,213.85,0.267,0,32.4,478.37,23.77
49,CELL_004,547.16,0.684,0,39.98,260.2,54.05
49,CELL_005,166.06,0.208,0,31.08,412.95,22.86
49,CELL_006,755.05,0.944,0,11.34,494.97,90.26
50,CELL_000,680.14,0.85,0,39.92,208.53,134.65
50,CELL_001,393.89,0.492,0,9.1,421.46,74.06
50,CELL_002,727.14,0.909,0,33.72,375.51,149.35
50,CELL_003,483.71,0.605,0,33.35,245.78,61.64
50,CELL_004,130.95,0.164,0,18.54,254.49,16.25
50,CELL_005,50.0,0.136,1,38.11,449.67,26.14
50,CELL_006,171.77,0.215,0,25.68,273.45,40.18
51,CELL_000,311.95,0.39,0,12.76,431.46,28.36
51,CELL_001,653.56,0.817,0,2.31,437.98,51.14
51,CELL_002,641.35,0.802,0,7.77,490.4,103.12
51,CELL_003,645.17,0.806,0,26.79,488.4,150.67
51,CELL_004,387.37,0.484,0,16.89,229.54,25.8
51,CELL_005,128.59,0.161,0,25.53,340.15,17.2
51,CELL_006,537.26,0.672,0,30.0,280.3,43.34
52,CELL_000,575.62,0.72,0,26.84,424.78,64.21
52,CELL_001,124.97,0.156,0,5.89,270.42,22.85
52,CELL_002,201.35,0.252,0,33.62,326.61,17.07
52,CELL_003,248.98,0.311,0,12.39,267.33,60.69
52,CELL_004,504.87,0.631,0,36.96,431.92,35.15
52,CELL_005,442.29,0.553,0,4.47,215.92,109.21
52,CELL_006,157.75,0.197,0,17.46,343.92,33.88
53,CELL_000,543.6,0.68,0,2.91,448.39,84.22
53,CELL_001,326.37,0.408,0,16.29,286.63,32.31
53,CELL_002,281.9,0.352,0,1.87,408.44,67.6
53,CELL_003,315.68,0.395,0,39.08,499.03,57.05
53,CELL_004,427.11,0.534,0,17.63,384.3,40.75
53,CELL_005,369.18,0.461,0,39.34,493.27,79.17
53,CELL_006,199.24,0.249,0,37.84,396.31,35.11
54,CELL_000,349.94,0.437,0,13.8,225.87,61.37
54,CELL_001,487.36,0.609,0,30.33,263.77,67.73
54,CELL_002,126.67,0.158,0,8.17,397.94,14.88
54,CELL_003,257.07,0.321,0,26.52,340.46,55.28
54,CELL_004,533.05,0.666,0,39.69,424.31,55.74
54,CELL_005,290.16,0.363,0,1.85,204.68,28.89
54,CELL_006,726.51,0.908,0,23.31,429.61,47.89
55,CELL_000,286.17,0.358,0,31.95,285.91,22.05
55,CELL_001,434.68,0.543,0,25.03,223.32,106.43
55,CELL_002,294.59,0.368,0,36.48,435.98,43.18
55,CELL_003,415.31,0.519,0,15.15,448.38,32.03
55,CELL_004,162.16,0.203,0,27.93,478.62,30.21
55,CELL_005,704.29,0.88,0,0.97,225.87,170.45
55,CELL_006,239.06,0.299,0,15.62,272.28,56.67
56,CELL_000,319.99,0.4,0,13.23,246.78,62.73
56,CELL_001,557.29,0.697,0,24.06,382.5,97.91
56,CELL_002,281.98,0.352,0,20.79,350.24,59.49
56,CELL_003,590.63,0.738,0,36.52,472.97,96.68
56,CELL_004,371.56,0.464,0,31.05,375.46,62.99
56,CELL_005,749.82,0.937,0,35.2,315.3,122.86
56,CELL_006,589.45,0.737,0,16.31,462.48,57.64
57,CELL_000,321.3,0.402,0,1.93,421.57,37.63
57,CELL_001,404.71,0.506,0,17.82,442.48,38.25
57,CELL_002,423.42,0.529,0,15.82,314.48,44.63
57,CELL_003,589.35,0.737,0,2.96,377.31,94.62
57,CELL_004,203.75,0.255,0,2.26,264.66,45.38
57,CELL_005,570.42,0.713,0,35.9,291.23,100.75
57,CELL_006,221.81,0.277,0,5.59,453.53,40.58
58,CELL_000,403.92,0.505,0,8.68,221.11,97.58
58,CELL_001,270.32,0.338,0,24.4,448.64,18.52
58,CELL_002,397.9,0.497,0,2.99,200.12,50.18
58,CELL_003,689.93,0.862,0,33.8,427.52,122.85
58,CELL_004,756.64,0.946,0,21.01,347.33,135.07
58,CELL_005,185.57,0.232,0,34.03,410.85,18.81
58,CELL_006,411.94,0.515,0,19.13,426.31,34.49
59,CELL_000,333.05,0.416,0,0.03,444.01,42.3
59,CELL_001,515.05,0.644,0,16.78,383.91,73.72
59,CELL_002,615.37,0.769,0,39.6,462.72,72.57
59,CELL_003,279.98,0.35,0,17.78,222.08,33.47
59,CELL_004,612.9,0.766,0,12.58,267.37,118.05
59,CELL_005,750.76,0.938,0,25.33,464.93,177.54
59,CELL_006,431.76,0.54,0,27.65,454.58,44.29
60,CELL_000,319.21,0.399,0,21.96,429.79,43.09
60,CELL_001,653.46,0.817,0,39.51,499.41,77.0
60,CELL_002,518.09,0.648,0,24.13,378.46,68.51
60,CELL_003,510.12,0.638,0,24.25,287.57,121.0
60,CELL_004,507.67,0.635,0,12.04,217.51,109.96
60,CELL_005,649.39,0.812,0,14.42,422.07,85.45
60,CELL_006,424.64,0.531,0,5.95,203.57,51.61
61,CELL_000,440.01,0.55,0,26.07,310.22,80.12
61,CELL_001,716.54,0.896,0,39.41,299.56,132.9
61,CELL_002,139.17,0.174,0,13.8,202.82,10.21
61,CELL_003,614.95,0.769,0,6.68,457.86,64.75
61,CELL_004,420.82,0.526,0,5.15,231.68,29.09
61,CELL_005,696.2,0.87,0,1.18,311.57,54.13
61,CELL_006,98.48,0.123,0,7.9,363.57,10.89
62,CELL_000,703.69,0.88,0,5.1,270.06,83.08
62,CELL_001,742.21,0.928,0,29.28,465.13,80.2
62,CELL_002,160.04,0.2,0,24.6,495.73,28.91
62,CELL_003,634.09,0.793,0,17.84,275.3,112.04
62,CELL_004,532.64,0.666,0,39.14,373.53,100.7
62,CELL_005,574.37,0.718,0,36.26,422.73,109.13
62,CELL_006,255.18,0.319,0,32.62,217.73,39.93
63,CELL_000,621.97,0.777,0,32.4,480.13,55.53
63,CELL_001,529.3,0.662,0,17.55,384.82,121.18
63,CELL_002,443.4,0.554,0,18.89,373.44,46.69
63,CELL_003,741.92,0.927,0,36.11,492.04,64.77
63,CELL_004,357.17,0.446,0,6.25,263.28,66.14
63,CELL_005,516.29,0.645,0,28.18,411.55,74.89
63,CELL_006,651.57,0.814,0,31.65,334.18,100.45
64,CELL_000,239.52,0.299,0,21.64,229.3,25.53
64,CELL_001,612.05,0.765,0,5.61,251.17,113.55
64,CELL_002,537.06,0.671,0,15.17,364.75,92.35
64,CELL_003,505.28,0.632,0,6.99,237.1,67.79
64,CELL_004,414.65,0.518,0,34.15,401.1,67.12
64,CELL_005,278.0,0.347,0,1.03,495.37,46.52
64,CELL_006,756.38,0.945,0,8.19,216.15,98.13
65,CELL_000,642.33,0.803,0,37.62,386.78,64.29
65,CELL_001,655.41,0.819,0,4.53,259.53,158.24
65,CELL_002,203.71,0.255,0,3.91,388.36,36.36
65,CELL_003,434.72,0.543,0,5.38,352.25,54.77
65,CELL_004,120.11,0.15,0,14.78,493.52,23.5
65,CELL_005,136.88,0.171,0,29.19,373.13,22.36
65,CELL_006,520.42,0.651,0,2.1,462.27,74.3
