timestamp,slice,prb_utilization,active_ues,sla_compliance,throughput_mbps,latency_p99_ms
21,eMBB,0.611,16,0.9053,251.22,0.54
21,URLLC,0.291,5,0.9514,48.09,1.73
21,mMTC,0.9,11,0.9893,266.72,0.43
22,eMBB,0.449,10,0.9691,193.74,0.78
22,URLLC,0.674,21,0.9549,262.61,4.02
22,mMTC,0.701,17,0.9818,174.04,12.3
23,eMBB,0.798,14,0.9363,247.98,11.88
23,URLLC,0.823,21,0.9774,403.67,5.01
23,mMTC,0.715,17,0.9286,169.79,0.41
24,eMBB,0.401,19,0.9111,154.46,2.0
24,URLLC,0.769,10,0.9084,157.26,4.8
24,mMTC,0.64,11,0.9676,298.67,9.5
25,eMBB,0.592,22,0.9849,65.9,6.64
25,URLLC,0.893,18,0.9993,227.0,18.74
25,mMTC,0.721,7,0.9384,280.09,2.07
26,eMBB,0.813,18,0.9162,157.65,0.3
26,URLLC,0.548,22,0.904,93.55,13.38
26,mMTC,0.794,9,0.9275,307.06,5.49
27,eMBB,0.566,23,0.969,77.64,13.0
27,URLLC,0.528,23,0.9758,53.71,2.72
27,mMTC,0.272,17,0.9808,91.7,10.87
28,eMBB,0.784,21,0.972,99.49,3.98
28,URLLC,0.501,21,0.9232,88.55,0.93
28,mMTC,0.461,21,0.9537,221.44,0.79
29,eMBB,0.404,9,0.9113,89.66,11.47
29,URLLC,0.546,7,0.9646,147.39,3.25
29,mMTC,0.411,10,0.9726,84.14,13.33
30,eMBB,0.543,11,0.9298,159.39,0.02
30,URLLC,0.641,12,0.9186,286.27,1.14
30,mMTC,0.495,22,0.9819,90.62,2.78
31,eMBB,0.326,20,0.962,84.51,3.24
31,URLLC,0.424,19,0.9504,80.96,3.52
31,mMTC,0.217,16,0.9655,79.36,17.78
32,eMBB,0.385,9,0.9062,191.72,2.63
32,URLLC,0.484,12,0.9895,232.0,12.09
32,mMTC,0.542,10,0.9858,116.62,3.24
33,eMBB,0.813,22,0.9968,222.78,7.51
33,URLLC,0.576,15,0.9363,97.53,5.32
33,mMTC,0.544,17,0.911,196.35,5.78
34,eMBB,0.746,5,0.9804,114.35,10.96
34,URLLC,0.659,7,0.9409,91.56,3.31
34,mMTC,0.352,8,0.9903,165.54,0.53
35,eMBB,0.32,10,0.9169,134.55,0.27
35,URLLC,0.692,14,0.9085,182.52,14.74
35,mMTC,0.756,8,0.9983,133.29,8.23
36,eMBB,0.566,9,0.9946,246.79,2.47
36,URLLC,0.572,15,0.9254,202.5,2.9
36,mMTC,0.284,5,0.9056,71.08,4.17
37,eMBB,0.207,20,0.9555,67.42,4.19
37,URLLC,0.625,14,0.9203,277.42,9.76
37,mMTC,0.755,20,0.9025,257.59,4.56
38,eMBB,0.771,24,0.9741,153.5,0.44
38,URLLC,0.337,6,0.9038,110.89,23.42
38,mMTC,0.389,13,0.9498,130.23,9.14
39,eMBB,0.387,15,0.9341,129.39,7.25
39,URLLC,0.469,18,0.9247,70.46,3.35
39,mMTC,0.896,19,0.9292,176.65,2.94
40,eMBB,0.862,11,0.935,186.76,10.02
40,URLLC,0.58,24,0.94,163.47,3.89
40,mMTC,0.62,23,0.9466,207.01,21.66
41,eMBB,0.33,17,0.9201,96.23,1.38
41,URLLC,0.634,17,0.9135,242.09,0.47
41,mMTC,0.457,10,0.998,174.97,13.37
42,eMBB,0.693,18,0.9445,116.31,29.41
42,URLLC,0.453,5,0.9113,185.9,24.75
42,mMTC,0.547,20,0.9842,54.93,9.72
43,eMBB,0.819,13,0.9682,194.49,9.53
43,URLLC,0.712,23,0.9247,275.55,32.77
43,mMTC,0.585,6,0.9959,199.13,3.24
44,eMBB,0.604,7,0.9425,209.59,1.15
44,URLLC,0.766,9,0.9371,160.23,5.61
44,mMTC,0.743,24,0.9802,192.62,20.49
45,eMBB,0.317,20,0.9907,63.13,20.51
45,URLLC,0.659,15,0.97,160.49,0.96
45,mMTC,0.712,22,0.9282,141.76,12.64
46,eMBB,0.297,11,0.9009,99.11,9.52
46,URLLC,0.516,9,0.941,250.37,5.94
46,mMTC,0.852,23,0.9426,153.19,0.43
47,eMBB,0.231,15,0.9241,53.37,5.13
47,URLLC,0.401,16,0.9919,94.03,5.78
47,mMTC,0.254,21,0.9082,61.65,3.46
48,eMBB,0.682,10,0.9083,289.19,3.23
48,URLLC,0.647,17,0.9261,103.56,15.6
48,mMTC,0.316,17,0.9006,119.5,14.08
49,eMBB,0.604,14,0.9029,225.46,3.05
49,URLLC,0.827,13,0.9627,232.54,1.87
49,mMTC,0.719,8,0.9655,355.4,11.28
50,eMBB,0.257,7,0.9632,46.48,1.33
50,URLLC,0.482,17,0.9743,239.46,8.78
50,mMTC,0.312,18,0.983,58.61,5.3
51,eMBB,0.724,17,0.918,308.75,5.71
51,URLLC,0.497,20,0.9747,232.87,3.19
51,mMTC,0.739,22,0.9451,97.83,4.97
52,eMBB,0.654,11,0.9166,266.31,9.38
52,URLLC,0.854,17,0.9428,414.2,7.36
52,mMTC,0.283,16,0.9711,35.06,3.14
53,eMBB,0.208,16,0.9103,52.71,4.13
53,URLLC,0.628,7,0.9355,302.46,7.79
53,mMTC,0.624,12,0.9646,162.44,10.77
54,eMBB,0.722,6,0.986,220.76,25.26
54,URLLC,0.861,5,0.9961,271.26,3.04
54,mMTC,0.348,5,0.9654,44.57,1.34
55,eMBB,0.211,15,0.9403,69.31,2.58
55,URLLC,0.524,5,0.9049,232.62,20.77
55,mMTC,0.853,13,0.999,297.26,28.54
56,eMBB,0.392,17,0.9773,128.3,17.79
56,URLLC,0.535,5,0.9425,130.45,2.87
56,mMTC,0.858,16,0.946,183.58,11.21
57,eMBB,0.859,6,0.9219,202.54,9.94
57,URLLC,0.839,24,0.9363,199.44,7.02
57,mMTC,0.302,13,0.9205,89.74,5.81
58,eMBB,0.233,13,0.9014,67.89,18.25
58,URLLC,0.572,22,0.9635,141.71,3.93
58,mMTC,0.899,9,0.9413,312.58,1.82
59,eMBB,0.72,23,0.9037,235.69,3.05
59,URLLC,0.267,20,0.9473,73.89,1.69
59,mMTC,0.242,23,0.9568,79.5,1.14
60,eMBB,0.372,17,0.9545,80.79,5.03
60,URLLC,0.309,13,0.9682,51.43,4.9
60,mMTC,0.803,18,0.9103,347.63,14.12
61,eMBB,0.591,14,0.9701,128.26,5.88
61,URLLC,0.745,12,0.9911,145.89,20.65
61,mMTC,0.326,19,0.9021,39.79,6.82
62,eMBB,0.537,11,0.9366,109.33,17.81
62,URLLC,0.654,7,0.9659,93.64,0.83
62,mMTC,0.458,17,0.976,191.0,9.38
63,eMBB,0.409,22,0.9069,166.44,4.27
63,URLLC,0.492,24,0.9592,147.37,8.12
63,mMTC,0.209,5,0.9415,93.98,6.55
64,eMBB,0.633,9,0.9709,187.1,5.32
64,URLLC,0.783,17,0.9599,168.77,8.77
64,mMTC,0.417,19,0.9923,164.06,8.92
65,eMBB,0.38,20,0.9623,66.98,0.61
65,URLLC,0.791,6,0.9407,295.72,21.36
65,mMTC,0.757,17,0.9134,104.7,17.49
66,eMBB,0.237,24,0.9473,54.93,3.95
66,URLLC,0.807,22,0.9585,280.58,0.34
66,mMTC,0.634,22,0.9171,79.11,2.94
67,eMBB,0.702,16,0.9809,165.93,0.78
67,URLLC,0.661,5,0.9435,202.34,1.3
67,mMTC,0.236,18,0.9064,71.84,10.65
68,eMBB,0.488,20,0.9977,163.88,6.61
68,URLLC,0.513,11,0.9279,57.08,7.42
68,mMTC,0.312,15,0.9001,142.6,12.84
69,eMBB,0.783,14,0.9448,167.28,4.56
69,URLLC,0.843,17,0.9508,161.62,6.1
69,mMTC,0.418,5,0.9066,193.53,28.89
70,eMBB,0.262,22,0.9798,64.46,0.26
70,URLLC,0.426,12,0.915,114.13,16.09
70,mMTC,0.375,10,0.9093,145.98,3.53
71,eMBB,0.692,21,0.9529,87.56,10.15
71,URLLC,0.671,16,0.91,239.8,16.77
71,mMTC,0.234,14,0.9812,80.57,0.76
72,eMBB,0.415,5,0.9586,184.58,17.43
72,URLLC,0.665,24,0.9835,97.17,0.41
72,mMTC,0.41,19,0.9787,179.08,9.56
73,eMBB,0.341,21,0.905,114.09,12.31
73,URLLC,0.472,12,0.9274,137.53,12.0
73,mMTC,0.892,23,0.9792,97.64,4.19
74,eMBB,0.685,11,0.9281,191.38,3.88
74,URLLC,0.89,13,0.9316,370.76,3.22
74,mMTC,0.825,17,0.9182,202.54,21.46
75,eMBB,0.547,8,0.9051,109.19,1.7
75,URLLC,0.454,13,0.9674,218.41,0.31
75,mMTC,0.393,16,0.961,50.7,5.66
76,eMBB,0.461,18,0.9156,125.21,1.92
76,URLLC,0.623,5,0.9445,293.98,4.99
76,mMTC,0.722,20,0.9238,136.5,1.96
77,eMBB,0.412,5,0.9231,114.41,4.68
77,URLLC,0.76,13,0.9131,330.0,2.53
77,mMTC,0.647,14,0.9213,92.02,8.76
78,eMBB,0.543,22,0.9711,155.92,5.52
78,URLLC,0.22,10,0.9431,31.67,25.2
78,mMTC,0.886,16,0.9896,260.52,5.37
79,eMBB,0.34,17,0.9743,167.85,7.7
79,URLLC,0.581,13,0.9526,284.86,4.47
79,mMTC,0.555,10,0.9065,252.0,8.06
80,eMBB,0.4,22,0.9103,48.8,0.73
80,URLLC,0.281,10,0.9294,41.25,19.37
80,mMTC,0.47,17,0.9429,73.78,3.43
81,eMBB,0.663,21,0.9368,214.94,14.45
81,URLLC,0.349,21,0.9381,150.81,35.78
81,mMTC,0.423,14,0.9793,57.83,5.81
82,eMBB,0.409,21,0.9836,115.08,12.69
82,URLLC,0.272,7,0.923,60.21,2.62
82,mMTC,0.508,8,0.9323,146.11,5.48
83,eMBB,0.707,21,0.9066,81.37,13.59
83,URLLC,0.228,8,0.9603,59.7,3.11
83,mMTC,0.208,10,0.9684,93.91,4.54
84,eMBB,0.22,22,0.9107,40.98,16.8
84,URLLC,0.649,16,0.9666,267.65,27.48
84,mMTC,0.26,13,0.9042,44.2,20.3
85,eMBB,0.718,11,0.9494,81.43,0.68
85,URLLC,0.556,12,0.9759,141.42,0.31
85,mMTC,0.28,22,0.9802,53.67,6.83
86,eMBB,0.782,14,0.9187,249.78,11.96
86,URLLC,0.692,11,0.9006,263.65,8.55
86,mMTC,0.492,21,0.906,51.26,0.78
87,eMBB,0.839,17,0.9982,388.55,7.35
87,URLLC,0.3,22,0.9138,106.82,5.31
87,mMTC,0.414,10,0.9555,203.24,10.51
88,eMBB,0.387,14,0.9583,108.05,14.65
88,URLLC,0.657,7,0.9518,199.04,9.56
88,mMTC,0.728,23,0.9291,214.3,0.91
89,eMBB,0.668,22,0.9343,322.88,6.57
89,URLLC,0.289,20,0.9197,47.91,2.7
89,mMTC,0.398,11,0.9459,89.7,18.65
90,eMBB,0.375,10,0.9208,165.2,13.99
90,URLLC,0.565,22,0.905,166.32,1.83
90,mMTC,0.531,10,0.9943,195.42,22.11
91,eMBB,0.327,12,0.9633,74.24,4.1
91,URLLC,0.566,24,0.9703,274.03,6.01
91,mMTC,0.89,17,0.9551,231.51,13.51
92,eMBB,0.376,24,0.9072,166.96,5.76
92,URLLC,0.479,17,0.9271,136.85,4.66
92,mMTC,0.25,8,0.9843,123.17,5.85
93,eMBB,0.321,19,0.9356,86.99,16.3
93,URLLC,0.427,24,0.9776,182.37,16.85
93,mMTC,0.576,18,0.9892,86.21,2.88
94,eMBB,0.27,22,0.9076,64.45,11.3
94,URLLC,0.235,9,0.9482,79.03,3.34
94,mMTC,0.837,10,0.9546,252.01,2.01
95,eMBB,0.778,21,0.9301,135.66,5.12
95,URLLC,0.463,20,0.955,115.85,15.49
95,mMTC,0.394,7,0.9317,173.67,6.76
96,eMBB,0.596,23,0.9812,220.25,3.01
96,URLLC,0.294,10,0.9543,145.04,8.49
96,mMTC,0.875,24,0.9796,103.28,1.38
97,eMBB,0.312,14,0.9954,153.32,6.06
97,URLLC,0.221,9,0.9381,108.75,5.36
97,mMTC,0.616,5,0.9828,109.56,3.43
98,eMBB,0.767,19,0.9757,244.72,0.78
98,URLLC,0.491,12,0.9889,136.48,1.58
98,mMTC,0.361,13,0.9427,152.05,4.04
99,eMBB,0.881,8,0.9716,343.52,2.5
99,URLLC,0.767,14,0.9526,235.24,7.46
99,mMTC,0.28,12,0.992,74.77,9.47
100,eMBB,0.618,23,0.9081,104.57,12.03
100,URLLC,0.503,5,0.9067,159.49,9.54
100,mMTC,0.409,18,0.9456,45.78,13.83
101,eMBB,0.85,9,0.9417,271.81,22.51
101,URLLC,0.894,24,0.9472,217.42,8.05
101,mMTC,0.896,19,0.9255,249.48,3.04
102,eMBB,0.297,16,0.9066,142.63,1.22
102,URLLC,0.788,13,0.955,292.81,3.22
102,mMTC,0.725,10,0.927,77.94,5.25
103,eMBB,0.753,15,0.9647,297.4,21.59
103,URLLC,0.4,11,0.9506,84.51,6.31
103,mMTC,0.434,16,0.9692,147.71,29.98
104,eMBB,0.877,11,0.9773,414.78,0.77
104,URLLC,0.678,21,0.9607,103.12,1.37
104,mMTC,0.466,7,0.9261,72.0,6.01
105,eMBB,0.695,15,0.9073,187.83,1.37
105,URLLC,0.273,5,0.9538,69.86,9.8
105,mMTC,0.694,10,0.9932,310.3,2.54
106,eMBB,0.315,19,0.9323,72.52,20.39
106,URLLC,0.509,23,0.9776,206.67,10.8
106,mMTC,0.662,15,0.9762,68.03,6.68
107,eMBB,0.88,15,0.92,190.76,8.79
107,URLLC,0.784,12,0.9824,249.37,7.61
107,mMTC,0.711,17,0.9418,235.08,0.4
108,eMBB,0.303,19,0.9194,125.29,0.64
108,URLLC,0.799,18,0.9162,383.83,1.68
108,mMTC,0.755,20,0.9178,148.21,0.65
109,eMBB,0.52,9,0.9952,209.91,3.49
109,URLLC,0.82,12,0.9768,203.63,3.02
109,mMTC,0.729,8,0.9435,252.32,0.14
110,eMBB,0.478,12,0.9503,57.31,0.02
110,URLLC,0.228,10,0.9562,51.75,0.36
110,mMTC,0.582,24,0.9337,84.51,11.24
111,eMBB,0.297,10,0.947,96.93,10.4
111,URLLC,0.497,9,0.9458,199.23,9.15
111,mMTC,0.305,14,0.9951,38.66,29.94
112,eMBB,0.836,9,0.9981,323.97,3.76
112,URLLC,0.542,18,0.9383,62.22,2.26
112,mMTC,0.794,9,0.9375,115.31,17.22
113,eMBB,0.576,19,0.9646,278.82,2.64
113,URLLC,0.435,17,0.9288,184.39,14.2
113,mMTC,0.612,10,0.9844,134.09,3.12
114,eMBB,0.498,24,0.9343,120.54,7.01
114,URLLC,0.748,17,0.9634,292.07,2.5
114,mMTC,0.757,20,0.9724,328.01,5.62
115,eMBB,0.612,18,0.9021,288.92,9.87
115,URLLC,0.469,13,0.9515,219.56,2.97
115,mMTC,0.509,13,0.9346,231.03,16.07
116,eMBB,0.747,20,0.935,302.67,0.49
116,URLLC,0.42,5,0.9942,102.6,7.37
116,mMTC,0.2,6,0.9045,69.77,4.5
117,eMBB,0.799,19,0.9142,286.68,4.2
117,URLLC,0.565,14,0.9174,121.22,1.57
117,mMTC,0.714,21,0.9855,176.65,2.71
118,eMBB,0.285,19,0.9289,136.19,3.27
118,URLLC,0.681,6,0.9844,114.98,3.25
118,mMTC,0.799,5,0.9587,375.68,28.44
119,eMBB,0.237,21,0.9918,102.66,3.25
119,URLLC,0.348,20,0.9042,103.28,0.08
119,mMTC,0.411,10,0.922,99.87,7.21
120,eMBB,0.615,17,0.9884,120.35,39.01
120,URLLC,0.686,11,0.966,230.28,1.86
120,mMTC,0.371,9,0.9372,185.34,11.18
121,eMBB,0.761,20,0.9486,94.87,22.09
121,URLLC,0.233,15,0.9768,77.92,8.24
121,mMTC,0.311,5,0.9893,50.79,1.25
122,eMBB,0.48,12,0.9141,100.31,0.5
122,URLLC,0.347,7,0.9432,68.19,2.95
122,mMTC,0.302,7,0.9462,133.39,35.91
123,eMBB,0.884,17,0.9966,319.65,4.94
123,URLLC,0.676,17,0.9888,169.01,3.53
123,mMTC,0.569,19,0.934,152.95,0.06
124,eMBB,0.547,20,0.9335,145.71,15.34
124,URLLC,0.316,22,0.9646,36.01,9.68
124,mMTC,0.775,7,0.9922,122.53,6.96
125,eMBB,0.384,21,0.9643,180.09,29.26
125,URLLC,0.491,16,0.9454,150.27,1.28
125,mMTC,0.289,15,0.9535,92.71,0.24
126,eMBB,0.501,22,0.9717,248.08,6.8
126,URLLC,0.794,13,0.9818,155.67,5.73
126,mMTC,0.425,10,0.9593,209.28,2.33
127,eMBB,0.676,8,0.9445,332.78,0.96
127,URLLC,0.328,14,0.9192,55.56,9.32
127,mMTC,0.247,11,0.9501,70.57,16.11
128,eMBB,0.7,20,0.9371,301.57,11.1
128,URLLC,0.829,14,0.9217,356.3,0.53
128,mMTC,0.806,16,0.9785,154.14,7.6
129,eMBB,0.683,24,0.9389,99.82,11.46
129,URLLC,0.505,19,0.9526,114.44,9.79
129,mMTC,0.671,11,0.929,138.46,8.03
130,eMBB,0.846,12,0.9774,200.1,1.54
130,URLLC,0.367,10,0.9991,93.86,3.61
130,mMTC,0.312,7,0.9455,104.51,3.74
131,eMBB,0.643,22,0.9396,293.64,11.51
131,URLLC,0.817,10,0.9574,283.37,15.17
131,mMTC,0.518,18,0.9184,129.1,22.17
132,eMBB,0.594,16,0.9071,158.36,24.19
132,URLLC,0.821,21,0.929,143.31,5.83
132,mMTC,0.349,6,0.9123,85.41,1.5
133,eMBB,0.392,15,0.9429,185.05,7.94
133,URLLC,0.359,20,0.9902,40.86,25.31
133,mMTC,0.547,20,0.9458,169.54,23.68
134,eMBB,0.662,9,0.9095,73.74,0.73
134,URLLC,0.697,11,0.9189,337.57,2.19
134,mMTC,0.551,11,0.9847,205.22,3.36
135,eMBB,0.806,11,0.9393,297.26,15.13
135,URLLC,0.79,16,0.9845,82.61,1.96
135,mMTC,0.457,15,0.9143,176.44,11.88
136,eMBB,0.226,5,0.9272,76.63,3.48
136,URLLC,0.322,8,0.9667,154.56,26.6
136,mMTC,0.621,10,0.9838,99.75,10.76
137,eMBB,0.604,15,0.9385,83.43,10.33
137,URLLC,0.771,9,0.9572,355.12,1.99
137,mMTC,0.654,8,0.9583,201.56,5.41
138,eMBB,0.767,10,0.9599,340.09,9.27
138,URLLC,0.439,6,0.911,147.92,8.58
138,mMTC,0.601,18,0.9639,126.91,4.99
139,eMBB,0.338,21,0.9922,143.84,1.48
139,URLLC,0.743,13,0.931,223.89,1.9
139,mMTC,0.395,21,0.9563,151.92,1.3
140,eMBB,0.608,24,0.9008,252.82,1.84
140,URLLC,0.781,19,0.9659,83.16,4.39
140,mMTC,0.585,18,0.9558,256.35,0.03
141,eMBB,0.305,23,0.9325,70.75,11.96
141,URLLC,0.318,13,0.9864,57.0,2.63
141,mMTC,0.657,16,0.9479,174.75,9.29
142,eMBB,0.339,5,0.9724,139.14,26.62
142,URLLC,0.577,20,0.9633,97.46,2.35
142,mMTC,0.812,23,0.9745,344.77,2.85
143,eMBB,0.504,12,0.95,178.68,1.65
143,URLLC,0.22,23,0.9662,31.65,8.17
143,mMTC,0.421,5,0.992,175.4,6.48
144,eMBB,0.839,13,0.9692,265.99,4.5
144,URLLC,0.538,7,0.9399,87.39,7.9
144,mMTC,0.227,6,0.973,37.4,8.17
145,eMBB,0.295,24,0.9873,44.02,2.51
145,URLLC,0.329,9,0.9072,120.67,9.6
145,mMTC,0.735,13,0.9687,256.94,9.95
146,eMBB,0.319,6,0.9616,147.2,7.91
146,URLLC,0.382,22,0.9268,177.81,0.39
146,mMTC,0.489,20,0.9186,162.33,9.77
147,eMBB,0.555,13,0.9623,129.81,1.79
147,URLLC,0.713,23,0.9033,320.02,7.93
147,mMTC,0.863,20,0.9471,279.75,7.69
148,eMBB,0.617,18,0.9156,193.34,9.39
148,URLLC,0.595,14,0.9046,246.66,0.65
148,mMTC,0.324,10,0.9391,112.45,5.82
149,eMBB,0.583,5,0.9243,139.9,6.07
149,URLLC,0.59,8,0.9052,237.17,8.52
149,mMTC,0.471,16,0.9722,47.75,12.47
150,eMBB,0.26,18,0.9887,96.27,10.35
150,URLLC,0.424,12,0.9555,94.48,4.35
150,mMTC,0.82,24,0.9674,274.01,13.38
151,eMBB,0.305,17,0.9689,144.7,15.51
151,URLLC,0.544,10,0.968,126.93,0.76
151,mMTC,0.24,10,0.9294,67.78,2.62
152,eMBB,0.314,11,0.9647,99.69,8.13
152,URLLC,0.232,20,0.9659,91.0,9.16
152,mMTC,0.533,14,0.9771,90.28,7.89
153,eMBB,0.884,23,0.9941,333.19,22.52
153,URLLC,0.764,14,0.9217,170.81,15.08
153,mMTC,0.366,14,0.9237,182.41,9.2
154,eMBB,0.502,19,0.9167,59.04,7.16
154,URLLC,0.846,19,0.9245,237.31,1.34
154,mMTC,0.258,20,0.9078,55.27,2.34
155,eMBB,0.478,6,0.952,77.17,9.8
155,URLLC,0.77,24,0.974,95.15,0.11
155,mMTC,0.445,23,0.9845,147.71,24.13
156,eMBB,0.632,16,0.9652,138.92,3.36
156,URLLC,0.809,9,0.9015,372.22,2.34
156,mMTC,0.607,19,0.9261,125.41,6.09
157,eMBB,0.263,14,0.9405,48.45,6.17
157,URLLC,0.467,22,0.9966,91.99,6.53
157,mMTC,0.634,5,0.9707,179.01,3.22
158,eMBB,0.744,9,0.9889,87.25,0.2
158,URLLC,0.317,24,0.9855,122.08,5.3
158,mMTC,0.709,18,0.9071,249.85,27.33
159,eMBB,0.785,21,0.9801,354.82,3.24
159,URLLC,0.7,9,0.9587,205.1,0.94
159,mMTC,0.494,7,0.9025,132.42,0.17
160,eMBB,0.654,11,0.979,155.27,8.25
160,URLLC,0.783,8,0.998,264.89,5.05
160,mMTC,0.828,9,0.9381,377.63,2.86
161,eMBB,0.301,14,0.9617,88.96,8.1
161,URLLC,0.601,14,0.9455,149.81,4.53
161,mMTC,0.306,10,0.9452,135.91,2.87
162,eMBB,0.229,19,0.9077,81.04,12.69
162,URLLC,0.355,5,0.9684,87.76,6.71
162,mMTC,0.822,24,0.9441,107.62,9.07
163,eMBB,0.455,19,0.9724,132.93,7.14
163,URLLC,0.872,19,0.9618,188.42,7.34
163,mMTC,0.398,15,0.9782,94.25,9.74
164,eMBB,0.554,15,0.9968,171.19,12.48
164,URLLC,0.709,23,0.9466,126.77,2.8
164,mMTC,0.698,7,0.9322,164.26,1.18
165,eMBB,0.706,8,0.966,120.23,1.94
165,URLLC,0.446,13,0.9806,47.07,33.54
165,mMTC,0.542,16,0.9886,187.36,9.79
166,eMBB,0.713,23,0.9556,128.02,5.95
166,URLLC,0.609,6,0.9308,174.81,0.21
166,mMTC,0.577,7,0.986,242.43,7.65
167,eMBB,0.77,14,0.9267,194.28,10.68
167,URLLC,0.857,24,0.9379,356.93,3.47
167,mMTC,0.202,12,0.9201,41.69,8.23
168,eMBB,0.614,18,0.9419,208.56,48.51
168,URLLC,0.746,11,0.9639,360.61,8.17
168,mMTC,0.323,9,0.9527,84.28,0.76
169,eMBB,0.591,21,0.9638,190.51,44.86
169,URLLC,0.708,20,0.9971,305.4,1.94
169,mMTC,0.365,16,0.9717,153.98,7.91
170,eMBB,0.368,23,0.9304,70.6,0.92
170,URLLC,0.345,17,0.9358,52.89,0.88
170,mMTC,0.339,23,0.9322,155.42,5.87
171,eMBB,0.589,17,0.9883,249.07,3.5
171,URLLC,0.802,5,0.9415,216.21,3.35
171,mMTC,0.468,10,0.9144,158.85,15.86
172,eMBB,0.676,10,0.9873,166.19,43.8
172,URLLC,0.574,18,0.951,136.19,0.14
172,mMTC,0.837,7,0.92,196.97,2.51
173,eMBB,0.617,9,0.9913,159.05,12.38
173,URLLC,0.778,6,0.9122,169.52,0.45
173,mMTC,0.228,24,0.995,55.61,2.73
174,eMBB,0.253,12,0.9431,85.78,1.2
174,URLLC,0.647,15,0.911,73.95,3.7
174,mMTC,0.229,19,0.9929,63.59,0.55
175,eMBB,0.441,12,0.9946,61.81,3.99
175,URLLC,0.463,8,0.9487,135.22,15.27
175,mMTC,0.405,21,0.9885,62.86,4.21
176,eMBB,0.746,24,0.9626,231.16,4.83
176,URLLC,0.878,13,0.9281,417.41,7.83
176,mMTC,0.344,6,0.9475,147.97,19.32
177,eMBB,0.459,10,0.9452,102.49,0.7
177,URLLC,0.576,8,0.9935,79.45,3.82
177,mMTC,0.485,13,0.971,189.9,1.32
178,eMBB,0.865,12,0.9504,274.46,8.13
178,URLLC,0.227,7,0.9094,108.15,5.48
178,mMTC,0.366,24,0.9445,181.06,1.86
