timestamp,ue_id,cell_id,x_m,y_m,velocity_mps,direction_deg,neighbor_cells,rsrp_dbm,handover_pending
65,UE_0001,CELL_005,-7.24,356.91,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-73.29,0
70,UE_0001,CELL_005,-8.75,357.46,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-96.75,0
75,UE_0001,CELL_005,-10.26,358.01,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-91.18,0
80,UE_0001,CELL_005,-11.78,358.56,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-109.12,0
85,UE_0001,CELL_005,-13.29,359.11,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-91.48,0
90,UE_0001,CELL_005,-14.81,359.66,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-88.8,0
95,UE_0001,CELL_005,-16.32,360.21,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-96.53,1
100,UE_0001,CELL_005,-17.84,360.76,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-99.06,0
105,UE_0001,CELL_005,-19.35,361.31,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-88.36,0
110,UE_0001,CELL_005,-20.86,361.86,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-96.11,0
115,UE_0001,CELL_005,-22.38,362.41,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-89.82,0
120,UE_0001,CELL_005,-23.89,362.96,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-88.54,0
125,UE_0001,CELL_005,-25.41,363.51,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-105.35,0
130,UE_0001,CELL_005,-26.92,364.07,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-105.13,0
135,UE_0001,CELL_005,-28.44,364.62,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-90.46,0
140,UE_0001,CELL_005,-29.95,365.17,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-85.82,0
145,UE_0001,CELL_005,-31.46,365.72,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-82.52,0
150,UE_0001,CELL_005,-32.98,366.27,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-89.44,0
155,UE_0001,CELL_005,-34.49,366.82,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-85.06,0
160,UE_0001,CELL_005,-36.01,367.37,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-114.25,0
165,UE_0001,CELL_005,-37.52,367.92,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-99.46,0
170,UE_0001,CELL_005,-39.04,368.47,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-84.7,0
175,UE_0001,CELL_005,-40.55,369.02,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-106.78,1
180,UE_0001,CELL_005,-42.06,369.57,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-93.43,0
185,UE_0001,CELL_005,-43.58,370.12,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-98.99,0
190,UE_0001,CELL_005,-45.09,370.67,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-98.3,0
195,UE_0001,CELL_005,-46.61,371.22,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-84.18,0
200,UE_0001,CELL_005,-48.12,371.77,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-85.52,0
205,UE_0001,CELL_005,-49.64,372.32,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-101.95,0
210,UE_0001,CELL_005,-51.15,372.87,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-95.14,0
215,UE_0001,CELL_005,-52.66,373.43,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-107.09,0
220,UE_0001,CELL_005,-54.18,373.98,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-92.07,0
225,UE_0001,CELL_005,-55.69,374.53,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-94.18,0
230,UE_0001,CELL_005,-57.21,375.08,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-97.88,0
235,UE_0001,CELL_005,-58.72,375.63,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-84.18,0
240,UE_0001,CELL_005,-60.24,376.18,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-82.73,0
245,UE_0001,CELL_005,-61.75,376.73,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-99.32,0
250,UE_0001,CELL_005,-63.27,377.28,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-90.78,0
255,UE_0001,CELL_005,-64.78,377.83,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-85.36,0
260,UE_0001,CELL_005,-66.29,378.38,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-98.49,0
265,UE_0001,CELL_005,-67.81,378.93,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-99.47,0
270,UE_0001,CELL_005,-69.32,379.48,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-107.98,0
275,UE_0001,CELL_005,-70.84,380.03,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-91.83,0
280,UE_0001,CELL_005,-72.35,380.58,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-90.66,1
285,UE_0001,CELL_005,-73.87,381.13,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-67.21,0
290,UE_0001,CELL_005,-75.38,381.68,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-74.5,0
295,UE_0001,CELL_005,-76.89,382.23,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-102.56,0
300,UE_0001,CELL_005,-78.41,382.78,16.11,160.02,"[""CELL_006"", ""CELL_000"", ""CELL_001""]",-91.57,0
305,UE_0001,CELL_006,-79.92,383.34,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-90.48,0
310,UE_0001,CELL_006,-81.44,383.89,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-80.33,0
315,UE_0001,CELL_006,-82.95,384.44,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-77.41,0
320,UE_0001,CELL_006,-84.47,384.99,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-88.68,0
325,UE_0001,CELL_006,-85.98,385.54,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-100.9,0
330,UE_0001,CELL_006,-87.49,386.09,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-84.89,0
335,UE_0001,CELL_006,-89.01,386.64,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-87.09,0
340,UE_0001,CELL_006,-90.52,387.19,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-96.44,0
345,UE_0001,CELL_006,-92.04,387.74,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-100.94,0
350,UE_0001,CELL_006,-93.55,388.29,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-92.07,0
355,UE_0001,CELL_006,-95.07,388.84,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-87.89,0
360,UE_0001,CELL_006,-96.58,389.39,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-72.8,0
365,UE_0001,CELL_006,-98.09,389.94,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-100.87,0
370,UE_0001,CELL_006,-99.61,390.49,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-90.57,0
375,UE_0001,CELL_006,-101.12,391.04,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-98.13,0
380,UE_0001,CELL_006,-102.64,391.59,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-101.99,0
385,UE_0001,CELL_006,-104.15,392.14,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-91.98,0
390,UE_0001,CELL_006,-105.67,392.7,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-98.7,0
395,UE_0001,CELL_006,-107.18,393.25,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-101.51,0
400,UE_0001,CELL_006,-108.69,393.8,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-103.86,0
405,UE_0001,CELL_006,-110.21,394.35,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-94.66,0
410,UE_0001,CELL_006,-111.72,394.9,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-95.94,0
415,UE_0001,CELL_006,-113.24,395.45,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-89.12,0
420,UE_0001,CELL_006,-114.75,396.0,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-85.91,1
425,UE_0001,CELL_006,-116.27,396.55,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-103.96,1
430,UE_0001,CELL_006,-117.78,397.1,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-92.61,0
435,UE_0001,CELL_006,-119.29,397.65,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-93.75,0
440,UE_0001,CELL_006,-120.81,398.2,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-115.11,0
445,UE_0001,CELL_006,-122.32,398.75,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-97.7,0
450,UE_0001,CELL_006,-123.84,399.3,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-78.13,0
455,UE_0001,CELL_006,-125.35,399.85,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-111.94,0
460,UE_0001,CELL_006,-126.87,400.4,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-84.19,0
465,UE_0001,CELL_006,-128.38,400.95,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-91.57,0
470,UE_0001,CELL_006,-129.9,401.5,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-90.91,0
475,UE_0001,CELL_006,-131.41,402.06,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-80.69,0
480,UE_0001,CELL_006,-132.92,402.61,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-97.79,0
485,UE_0001,CELL_006,-134.44,403.16,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-90.53,0
490,UE_0001,CELL_006,-135.95,403.71,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-109.15,1
495,UE_0001,CELL_006,-137.47,404.26,16.11,160.02,"[""CELL_000"", ""CELL_001"", ""CELL_002""]",-81.04,0
0,UE_0002,CELL_002,448.17,565.19,23.35,74.29,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-91.37,0
5,UE_0002,CELL_002,448.8,567.43,23.35,74.29,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-113.79,0
10,UE_0002,CELL_002,449.44,569.68,23.35,74.29,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-100.46,0
15,UE_0002,CELL_002,450.07,571.93,23.35,74.29,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-100.78,0
20,UE_0002,CELL_002,450.7,574.18,23.35,74.29,"[""CELL_003"", ""CELL_004"", ""CELL_005""]",-91.48,0
25,UE_0002,CELL_001,451.33,576.42,23.35,74.29,"[""CELL_002"", ""CELL_003"", ""CELL_004""]",-101.22,0
30,UE_0002,CELL_001,451.96,578.67,23.35,74.29,"[""CELL_002"", ""CELL_003"", ""CELL_004""]",-83.19,0
35,UE_0002,CELL_001,452.6,580.92,23.35,74.29,"[""CELL_002"", ""CELL_003"", ""CELL_004""]",-99.96,0
