event_id,timestamp,ue_id,source_cell,target_cell,ho_type,rsrp_source_dbm,rsrp_target_dbm,velocity_mps,success,failure_cause,delay_ms
HO_00064,253,UE_0017,CELL_000,CELL_005,inter_freq,-104.38,-87.17,2.05,1,,74.59
HO_00065,420,UE_0006,CELL_001,CELL_002,inter_rat,-97.99,-85.87,30.7,1,,79.22
HO_00066,71,UE_0003,CELL_003,CELL_003,inter_freq,-100.1,-88.65,3.91,1,,24.83
HO_00067,262,UE_0008,CELL_000,CELL_000,inter_freq,-83.8,-102.32,27.22,1,,32.94
HO_00068,462,UE_0004,CELL_002,CELL_006,inter_rat,-88.3,-79.39,14.7,1,,23.72
HO_00069,453,UE_0009,CELL_001,CELL_006,inter_rat,-73.64,-72.7,24.0,1,,71.64
HO_00070,165,UE_0029,CELL_006,CELL_000,inter_rat,-97.45,-98.59,8.76,1,,60.12
HO_00071,196,UE_0025,CELL_000,CELL_005,inter_freq,-112.65,-84.62,5.4,1,,33.36
HO_00072,51,UE_0014,CELL_000,CELL_003,inter_rat,-93.61,-79.66,1.19,1,,27.07
HO_00073,207,UE_0004,CELL_000,CELL_001,inter_rat,-90.91,-93.68,7.04,1,,79.49
HO_00074,448,UE_0004,CELL_005,CELL_003,intra_freq,-88.68,-88.67,16.95,1,,26.21
HO_00075,42,UE_0016,CELL_006,CELL_006,intra_freq,-106.24,-79.02,18.46,1,,23.26
HO_00076,72,UE_0006,CELL_003,CELL_001,inter_rat,-85.96,-100.58,11.56,1,,70.82
HO_00077,318,UE_0017,CELL_006,CELL_002,inter_freq,-104.33,-86.54,31.76,1,,54.7
HO_00078,378,UE_0025,CELL_005,CELL_002,inter_rat,-103.49,-85.01,21.51,1,,24.35
HO_00079,485,UE_0016,CELL_000,CELL_001,inter_freq,-102.04,-103.04,22.35,1,,75.52
HO_00080,451,UE_0021,CELL_001,CELL_003,inter_rat,-111.94,-91.21,12.31,1,,56.65
HO_00081,363,UE_0009,CELL_004,CELL_000,intra_freq,-92.93,-81.75,1.71,1,,36.0
HO_00082,109,UE_0007,CELL_005,CELL_003,inter_freq,-76.77,-89.45,25.38,1,,61.87
HO_00083,9,UE_0003,CELL_000,CELL_003,intra_freq,-89.01,-87.49,13.22,1,,42.12
HO_00084,278,UE_0020,CELL_004,CELL_002,inter_freq,-104.68,-87.91,8.27,1,,73.06
HO_00085,478,UE_0040,CELL_004,CELL_005,inter_freq,-107.33,-98.72,34.71,1,,45.59
HO_00086,15,UE_0037,CELL_005,CELL_006,intra_freq,-100.25,-77.16,20.99,1,,31.96
HO_00087,422,UE_0005,CELL_001,CELL_002,inter_freq,-96.21,-92.71,33.12,1,,24.32
HO_00088,284,UE_0039,CELL_004,CELL_003,inter_freq,-85.41,-77.57,13.81,1,,30.32
HO_00089,98,UE_0041,CELL_003,CELL_006,intra_freq,-108.45,-70.51,0.58,1,,47.22
HO_00090,439,UE_0036,CELL_006,CELL_005,intra_freq,-87.86,-78.85,18.95,1,,70.97
HO_00091,309,UE_0026,CELL_001,CELL_004,inter_freq,-91.36,-87.37,20.89,1,,50.48
HO_00092,285,UE_0049,CELL_006,CELL_000,intra_freq,-97.85,-78.95,17.15,1,,44.88
HO_00093,185,UE_0017,CELL_000,CELL_000,intra_freq,-85.74,-91.41,33.79,1,,31.97
HO_00094,169,UE_0025,CELL_006,CELL_006,inter_rat,-102.5,-78.77,24.05,1,,40.21
HO_00095,40,UE_0036,CELL_003,CELL_002,inter_rat,-100.38,-77.73,13.29,1,,20.43
HO_00096,498,UE_0039,CELL_005,CELL_005,inter_freq,-68.82,-88.19,10.59,1,,35.59
HO_00097,253,UE_0040,CELL_006,CELL_002,inter_rat,-99.65,-111.4,0.35,1,,41.03
HO_00098,303,UE_0018,CELL_004,CELL_000,inter_freq,-101.29,-79.89,13.41,1,,33.88
HO_00099,359,UE_0006,CELL_001,CELL_005,inter_rat,-102.35,-77.19,27.73,1,,52.13
HO_00100,281,UE_0010,CELL_002,CELL_006,inter_freq,-94.02,-84.32,13.47,1,,76.43
HO_00101,286,UE_0043,CELL_001,CELL_002,inter_rat,-90.6,-92.59,0.94,1,,23.05
HO_00102,289,UE_0018,CELL_006,CELL_003,inter_freq,-88.21,-90.48,23.35,1,,37.75
HO_00103,11,UE_0037,CELL_000,CELL_001,inter_rat,-99.57,-87.79,5.96,1,,63.63
HO_00104,17,UE_0025,CELL_005,CELL_002,intra_freq,-101.38,-95.68,22.82,1,,70.15
HO_00105,492,UE_0001,CELL_003,CELL_003,inter_freq,-96.93,-103.28,18.55,1,,65.84
HO_00106,342,UE_0019,CELL_001,CELL_004,inter_rat,-87.77,-86.99,5.76,1,,45.55
HO_00107,132,UE_0032,CELL_005,CELL_005,inter_rat,-95.4,-86.44,23.03,1,,72.88
HO_00108,172,UE_0023,CELL_001,CELL_001,inter_rat,-104.68,-88.83,4.92,1,,68.78
HO_00109,407,UE_0025,CELL_003,CELL_002,inter_freq,-91.19,-84.25,27.17,1,,48.2
HO_00110,97,UE_0005,CELL_002,CELL_001,inter_freq,-123.08,-94.99,0.95,1,,40.95
HO_00111,160,UE_0017,CELL_005,CELL_003,inter_rat,-107.42,-92.27,24.99,1,,40.6
HO_00112,463,UE_0025,CELL_002,CELL_000,inter_freq,-104.36,-103.14,16.63,1,,59.31
HO_00113,486,UE_0017,CELL_006,CELL_001,inter_rat,-91.83,-95.19,32.44,1,,77.68
HO_00114,104,UE_0020,CELL_001,CELL_006,intra_freq,-93.9,-91.28,19.04,1,,63.67
HO_00115,122,UE_0012,CELL_000,CELL_006,inter_freq,-92.25,-89.08,31.28,1,,32.58
HO_00116,461,UE_0001,CELL_004,CELL_002,intra_freq,-93.2,-92.49,12.78,1,,79.1
HO_00117,240,UE_0008,CELL_006,CELL_003,intra_freq,-93.92,-81.6,17.95,1,,75.01
HO_00118,33,UE_0017,CELL_006,CELL_004,inter_freq,-94.76,-82.97,34.21,1,,51.71
HO_00119,313,UE_0041,CELL_003,CELL_000,intra_freq,-96.48,-86.93,11.01,1,,29.7
HO_00120,54,UE_0030,CELL_005,CELL_001,inter_freq,-100.76,-100.06,19.86,1,,35.96
HO_00121,406,UE_0046,CELL_005,CELL_006,intra_freq,-98.39,-70.95,3.15,1,,56.98
HO_00122,247,UE_0047,CELL_000,CELL_002,inter_freq,-100.69,-93.13,4.25,1,,50.77
HO_00123,47,UE_0030,CELL_006,CELL_006,inter_rat,-88.72,-86.42,10.14,1,,70.5
HO_00124,200,UE_0021,CELL_005,CELL_006,inter_freq,-95.49,-84.57,32.52,1,,56.41
HO_00125,53,UE_0040,CELL_003,CELL_000,inter_rat,-102.12,-88.95,32.75,1,,70.4
HO_00126,40,UE_0046,CELL_000,CELL_004,inter_rat,-88.86,-77.03,21.67,1,,68.16
HO_00127,466,UE_0023,CELL_006,CELL_004,intra_freq,-89.73,-90.39,34.25,1,,23.92
HO_00128,86,UE_0012,CELL_006,CELL_002,intra_freq,-98.62,-75.84,11.39,1,,67.13
HO_00129,329,UE_0008,CELL_001,CELL_003,inter_rat,-92.79,-88.49,4.4,1,,39.59
HO_00130,222,UE_0006,CELL_002,CELL_005,intra_freq,-93.27,-90.28,5.0,1,,50.32
HO_00131,104,UE_0004,CELL_001,CELL_004,inter_freq,-101.97,-93.37,24.61,1,,63.37
HO_00132,334,UE_0004,CELL_006,CELL_001,intra_freq,-94.91,-89.19,15.15,1,,60.02
HO_00133,215,UE_0007,CELL_000,CELL_004,inter_rat,-86.27,-77.58,22.74,1,,62.65
HO_00134,183,UE_0032,CELL_003,CELL_004,intra_freq,-84.18,-103.23,0.15,1,,36.29
HO_00135,347,UE_0016,CELL_000,CELL_002,inter_rat,-101.75,-86.23,19.15,1,,54.29
HO_00136,333,UE_0025,CELL_000,CELL_000,inter_rat,-82.07,-84.94,13.15,1,,21.3
HO_00137,475,UE_0019,CELL_004,CELL_006,inter_rat,-99.98,-112.55,25.85,1,,31.07
HO_00138,354,UE_0012,CELL_004,CELL_004,inter_freq,-98.49,-93.42,12.36,1,,46.66
HO_00139,441,UE_0042,CELL_005,CELL_006,inter_freq,-107.45,-77.82,18.76,1,,62.51
HO_00140,472,UE_0018,CELL_003,CELL_006,inter_rat,-97.61,-94.17,21.13,1,,29.34
HO_00141,380,UE_0033,CELL_000,CELL_006,intra_freq,-92.48,-95.11,11.72,1,,64.08
HO_00142,304,UE_0047,CELL_005,CELL_004,intra_freq,-89.94,-75.78,5.71,1,,67.41
HO_00143,262,UE_0007,CELL_001,CELL_000,inter_rat,-106.05,-94.91,25.44,1,,35.87
HO_00144,208,UE_0023,CELL_000,CELL_004,intra_freq,-97.04,-96.9,4.91,1,,39.57
HO_00145,290,UE_0034,CELL_000,CELL_004,intra_freq,-100.94,-80.4,19.99,1,,44.66
HO_00146,441,UE_0049,CELL_004,CELL_003,inter_rat,-93.93,-101.22,8.11,1,,27.92
HO_00147,111,UE_0044,CELL_000,CELL_000,inter_freq,-83.76,-88.97,30.86,1,,29.17
HO_00148,209,UE_0043,CELL_002,CELL_003,inter_rat,-91.38,-84.52,10.35,1,,65.16
HO_00149,100,UE_0002,CELL_003,CELL_005,inter_rat,-98.74,-95.79,34.06,1,,25.98
HO_00150,19,UE_0040,CELL_004,CELL_000,inter_rat,-98.85,-88.7,17.27,1,,78.1
HO_00151,145,UE_0014,CELL_005,CELL_001,intra_freq,-107.09,-64.35,4.56,1,,38.89
HO_00152,439,UE_0034,CELL_004,CELL_000,intra_freq,-122.62,-84.97,29.76,1,,75.02
HO_00153,193,UE_0033,CELL_005,CELL_001,intra_freq,-91.37,-73.74,22.06,1,,69.01
HO_00154,383,UE_0023,CELL_000,CELL_000,inter_freq,-96.17,-82.06,7.95,1,,62.57
HO_00155,388,UE_0015,CELL_002,CELL_004,inter_rat,-82.2,-89.25,29.51,1,,33.05
HO_00156,133,UE_0023,CELL_005,CELL_005,inter_rat,-96.65,-93.03,23.99,1,,70.13
HO_00157,135,UE_0002,CELL_006,CELL_000,inter_freq,-98.34,-78.92,26.05,1,,49.49
HO_00158,73,UE_0041,CELL_005,CELL_002,inter_freq,-98.07,-89.19,3.45,1,,56.4
HO_00159,26,UE_0032,CELL_006,CELL_001,inter_freq,-96.62,-86.45,21.22,1,,49.5
HO_00160,63,UE_0007,CELL_004,CELL_004,intra_freq,-91.21,-97.75,32.35,1,,28.9
HO_00161,89,UE_0025,CELL_005,CELL_005,inter_freq,-93.12,-78.65,11.99,1,,78.82
HO_00162,376,UE_0014,CELL_002,CELL_005,inter_rat,-98.78,-78.94,10.12,1,,65.4
HO_00163,156,UE_0021,CELL_006,CELL_006,intra_freq,-103.37,-87.07,20.32,1,,25.14
HO_00164,181,UE_0008,CELL_002,CELL_000,inter_freq,-88.17,-88.72,32.43,1,,34.87
HO_00165,58,UE_0003,CELL_002,CELL_004,inter_freq,-88.21,-92.12,11.29,1,,41.83
HO_00166,27,UE_0047,CELL_002,CELL_004,inter_freq,-94.9,-92.14,26.99,1,,21.51
HO_00167,252,UE_0039,CELL_005,CELL_001,intra_freq,-79.8,-94.92,26.0,1,,27.36
HO_00168,136,UE_0045,CELL_002,CELL_002,intra_freq,-89.79,-78.36,14.99,1,,21.83
HO_00169,220,UE_0003,CELL_006,CELL_001,inter_freq,-97.45,-88.69,33.62,1,,61.88
HO_00170,211,UE_0038,CELL_004,CELL_002,inter_rat,-100.24,-79.22,9.15,1,,60.27
HO_00171,249,UE_0035,CELL_003,CELL_004,intra_freq,-82.4,-93.45,3.48,1,,55.45
HO_00172,78,UE_0016,CELL_000,CELL_003,inter_freq,-92.48,-82.83,33.79,1,,78.8
HO_00173,206,UE_0003,CELL_003,CELL_001,intra_freq,-87.16,-83.24,18.99,1,,71.55
HO_00174,410,UE_0025,CELL_001,CELL_001,inter_rat,-89.81,-86.74,0.15,1,,52.51
HO_00175,40,UE_0034,CELL_005,CELL_001,intra_freq,-106.11,-81.88,12.61,1,,53.58
HO_00176,110,UE_0012,CELL_002,CELL_005,inter_rat,-87.82,-82.55,5.26,1,,79.11
HO_00177,7,UE_0002,CELL_002,CELL_002,inter_freq,-84.77,-93.23,18.99,1,,25.31
HO_00178,315,UE_0009,CELL_002,CELL_001,intra_freq,-98.11,-93.96,15.58,1,,73.96
HO_00179,211,UE_0023,CELL_005,CELL_001,inter_rat,-93.75,-84.27,8.43,1,,60.26
HO_00180,195,UE_0023,CELL_004,CELL_005,inter_rat,-81.65,-109.23,20.14,1,,30.32
HO_00181,348,UE_0008,CELL_001,CELL_001,inter_rat,-105.15,-105.35,32.77,1,,65.98
HO_00182,61,UE_0034,CELL_000,CELL_005,inter_rat,-86.13,-83.17,6.0,0,rlf,60.01
HO_00183,387,UE_0002,CELL_002,CELL_006,inter_rat,-96.55,-101.41,17.07,1,,25.45
HO_00184,310,UE_0043,CELL_002,CELL_004,inter_freq,-91.89,-92.42,19.37,1,,77.91
HO_00185,216,UE_0032,CELL_004,CELL_002,intra_freq,-88.58,-77.5,25.96,1,,40.53
HO_00186,230,UE_0028,CELL_003,CELL_001,intra_freq,-97.52,-85.01,0.58,1,,77.78
HO_00187,160,UE_0010,CELL_003,CELL_002,inter_rat,-95.24,-90.92,8.51,1,,46.1
HO_00188,149,UE_0040,CELL_004,CELL_006,inter_rat,-99.21,-90.82,20.99,1,,20.94
HO_00189,143,UE_0010,CELL_001,CELL_005,inter_freq,-98.95,-82.93,6.31,1,,57.8
HO_00190,99,UE_0017,CELL_002,CELL_002,inter_rat,-89.33,-98.61,21.07,1,,78.24
HO_00191,141,UE_0019,CELL_000,CELL_005,inter_rat,-92.43,-97.0,11.67,1,,34.78
HO_00192,371,UE_0043,CELL_005,CELL_001,inter_freq,-107.7,-98.89,15.23,1,,50.74
HO_00193,474,UE_0010,CELL_004,CELL_000,inter_rat,-97.76,-87.47,17.47,1,,74.86
HO_00194,445,UE_0031,CELL_004,CELL_001,intra_freq,-100.76,-99.01,15.72,1,,78.61
HO_00195,361,UE_0006,CELL_001,CELL_006,inter_rat,-89.52,-90.59,12.82,1,,63.52
HO_00196,60,UE_0035,CELL_004,CELL_003,intra_freq,-102.16,-92.71,15.65,1,,52.29
HO_00197,160,UE_0012,CELL_003,CELL_005,inter_rat,-89.07,-82.78,5.78,1,,46.66
HO_00198,366,UE_0014,CELL_006,CELL_005,intra_freq,-98.57,-88.59,10.03,1,,40.03
HO_00199,446,UE_0025,CELL_005,CELL_006,intra_freq,-85.56,-89.83,16.23,1,,79.39
HO_00200,76,UE_0027,CELL_001,CELL_000,inter_rat,-105.11,-82.63,22.49,1,,22.85
HO_00201,193,UE_0021,CELL_006,CELL_002,inter_freq,-88.04,-87.21,10.53,1,,42.45
HO_00202,132,UE_0008,CELL_000,CELL_001,intra_freq,-95.42,-86.1,22.94,0,rlf,67.92
HO_00203,481,UE_0025,CELL_003,CELL_000,inter_rat,-84.5,-85.87,1.69,1,,49.2
HO_00204,297,UE_0033,CELL_005,CELL_002,inter_rat,-90.43,-78.62,30.38,1,,53.21
HO_00205,142,UE_0044,CELL_004,CELL_003,inter_freq,-109.54,-98.34,18.18,1,,74.31
HO_00206,410,UE_0029,CELL_002,CELL_001,intra_freq,-87.09,-86.8,30.31,1,,39.29
HO_00207,100,UE_0015,CELL_000,CELL_000,inter_freq,-97.03,-97.85,19.84,1,,48.94
HO_00208,275,UE_0049,CELL_004,CELL_000,inter_freq,-94.52,-81.55,21.97,1,,71.7
HO_00209,423,UE_0026,CELL_002,CELL_005,inter_rat,-81.28,-80.79,20.83,1,,74.26
HO_00210,302,UE_0029,CELL_002,CELL_005,inter_freq,-102.27,-94.57,28.1,0,rlf,62.22
HO_00211,275,UE_0002,CELL_001,CELL_005,inter_freq,-89.91,-89.34,4.62,1,,36.97
HO_00212,368,UE_0031,CELL_005,CELL_003,inter_rat,-88.31,-90.1,20.41,1,,57.27
HO_00213,160,UE_0031,CELL_000,CELL_000,inter_freq,-113.56,-97.86,16.16,1,,39.46
HO_00214,482,UE_0047,CELL_005,CELL_005,inter_freq,-90.16,-86.72,10.32,1,,40.65
HO_00215,489,UE_0024,CELL_000,CELL_003,inter_freq,-89.88,-78.96,18.79,1,,26.12
HO_00216,379,UE_0004,CELL_002,CELL_006,inter_freq,-91.01,-97.73,8.57,1,,39.8
HO_00217,466,UE_0002,CELL_000,CELL_001,inter_freq,-99.06,-82.19,21.54,1,,53.72
HO_00218,478,UE_0006,CELL_004,CELL_006,intra_freq,-91.92,-80.57,34.91,1,,28.3
HO_00219,497,UE_0022,CELL_005,CELL_005,inter_rat,-101.9,-72.6,26.78,0,rlf,48.52
HO_00220,234,UE_0007,CELL_002,CELL_004,intra_freq,-88.44,-85.51,23.88,1,,23.48
HO_00221,127,UE_0048,CELL_005,CELL_004,inter_freq,-101.66,-92.96,19.38,1,,30.84
HO_00222,320,UE_0008,CELL_006,CELL_005,inter_rat,-101.98,-71.38,30.56,1,,64.05
HO_00223,360,UE_0027,CELL_001,CELL_000,intra_freq,-87.44,-90.89,14.65,1,,57.12
HO_00224,304,UE_0046,CELL_004,CELL_002,inter_freq,-92.29,-89.87,4.42,1,,46.2
HO_00225,232,UE_0024,CELL_001,CELL_005,inter_rat,-89.98,-96.92,9.36,1,,59.42
HO_00226,74,UE_0017,CELL_002,CELL_006,intra_freq,-99.64,-84.51,6.56,1,,45.53
HO_00227,272,UE_0035,CELL_005,CELL_006,intra_freq,-95.9,-87.1,29.04,1,,25.38
HO_00228,250,UE_0043,CELL_001,CELL_006,inter_freq,-94.73,-69.15,3.74,1,,63.37
HO_00229,431,UE_0045,CELL_000,CELL_005,inter_freq,-90.6,-88.76,16.85,1,,61.86
HO_00230,287,UE_0045,CELL_004,CELL_001,intra_freq,-91.7,-81.7,27.58,1,,56.37
HO_00231,98,UE_0039,CELL_001,CELL_001,inter_freq,-85.15,-85.09,7.64,1,,78.4
HO_00232,42,UE_0035,CELL_004,CELL_000,intra_freq,-97.07,-82.57,22.38,1,,36.52
HO_00233,189,UE_0047,CELL_006,CELL_005,intra_freq,-89.95,-84.14,20.45,1,,56.22
HO_00234,89,UE_0048,CELL_002,CELL_003,intra_freq,-109.06,-87.49,27.7,0,rlf,57.76
HO_00235,334,UE_0023,CELL_006,CELL_002,inter_freq,-86.88,-94.12,30.22,1,,73.16
HO_00236,403,UE_0034,CELL_004,CELL_003,inter_freq,-89.88,-82.42,8.14,1,,44.72
HO_00237,143,UE_0038,CELL_006,CELL_006,inter_rat,-111.36,-90.74,16.63,1,,71.73
HO_00238,127,UE_0007,CELL_004,CELL_004,intra_freq,-83.66,-92.95,20.58,1,,37.69
HO_00239,236,UE_0036,CELL_004,CELL_006,intra_freq,-93.51,-86.25,27.26,1,,69.35
HO_00240,415,UE_0023,CELL_002,CELL_002,intra_freq,-87.82,-95.59,1.3,1,,28.67
HO_00241,317,UE_0018,CELL_000,CELL_000,intra_freq,-93.98,-91.0,26.99,1,,56.19
HO_00242,486,UE_0020,CELL_001,CELL_005,inter_freq,-98.35,-83.71,33.62,1,,57.78
HO_00243,168,UE_0001,CELL_001,CELL_001,intra_freq,-87.55,-92.56,1.05,1,,32.49
HO_00244,51,UE_0017,CELL_000,CELL_004,inter_rat,-104.64,-89.47,2.62,1,,23.67
HO_00245,278,UE_0041,CELL_001,CELL_003,intra_freq,-82.49,-82.29,5.47,1,,38.81
HO_00246,366,UE_0005,CELL_000,CELL_000,inter_rat,-97.76,-78.52,12.84,1,,72.31
HO_00247,30,UE_0005,CELL_001,CELL_004,inter_rat,-100.41,-94.05,0.31,1,,46.12
HO_00248,384,UE_0032,CELL_003,CELL_000,intra_freq,-88.13,-93.65,32.92,1,,68.84
HO_00249,464,UE_0009,CELL_003,CELL_001,intra_freq,-99.88,-98.51,6.79,1,,28.9
HO_00250,270,UE_0017,CELL_004,CELL_006,inter_rat,-87.26,-92.92,23.32,1,,26.18
HO_00251,275,UE_0021,CELL_002,CELL_000,inter_rat,-96.04,-89.28,8.5,1,,65.34
HO_00252,276,UE_0004,CELL_005,CELL_006,intra_freq,-102.79,-93.06,31.47,1,,28.59
HO_00253,370,UE_0025,CELL_000,CELL_002,inter_rat,-86.07,-76.98,7.98,1,,49.65
HO_00254,451,UE_0002,CELL_005,CELL_006,inter_rat,-101.25,-65.11,28.69,1,,42.47
HO_00255,117,UE_0029,CELL_002,CELL_003,inter_freq,-95.35,-95.97,21.24,1,,22.46
HO_00256,87,UE_0030,CELL_003,CELL_006,inter_rat,-97.98,-88.67,20.91,1,,34.02
HO_00257,247,UE_0035,CELL_005,CELL_003,intra_freq,-93.22,-93.5,29.77,1,,40.75
HO_00258,234,UE_0037,CELL_005,CELL_006,inter_freq,-102.53,-95.17,15.42,1,,50.46
HO_00259,181,UE_0028,CELL_006,CELL_001,inter_rat,-106.53,-88.77,16.47,1,,49.16
HO_00260,199,UE_0026,CELL_000,CELL_000,inter_rat,-97.76,-87.23,10.13,1,,57.48
