event_id,timestamp,source_ip,target_cell,threat_type,is_attack,packet_rate_pps,auth_failures,spectrum_anomaly_score,flow_entropy,bytes_transferred
SEC_000073,84,10.132.30.204,CELL_005,normal,0,9.55,0,0.183,0.568,671704
SEC_000074,11,10.148.91.6,CELL_003,normal,0,142.94,0,0.293,0.749,199944
SEC_000075,14,10.65.1.172,CELL_001,normal,0,66.34,0,0.178,0.513,780334
SEC_000076,32,10.75.26.224,CELL_000,normal,0,221.0,0,0.181,0.787,849986
SEC_000077,374,10.149.140.30,CELL_003,normal,0,93.28,0,0.057,0.725,210394
SEC_000078,337,10.69.213.39,CELL_000,normal,0,153.79,0,0.115,0.586,797143
SEC_000079,258,10.179.239.228,CELL_005,normal,0,78.51,1,0.221,0.949,3958
SEC_000080,204,10.118.75.212,CELL_002,jamming,1,1469.11,4,0.717,0.213,255538
SEC_000081,305,10.171.143.70,CELL_003,normal,0,21.05,0,0.175,0.671,584009
SEC_000082,173,10.5.92.92,CELL_004,normal,0,342.76,0,0.151,0.933,965095
SEC_000083,37,10.119.64.163,CELL_002,normal,0,43.22,0,0.254,0.854,882273
SEC_000084,221,10.246.130.166,CELL_005,normal,0,59.18,0,0.024,0.696,491267
SEC_000085,72,10.10.80.224,CELL_003,jamming,1,1305.31,2,0.926,0.384,587443
SEC_000086,383,10.25.67.176,CELL_001,normal,0,40.41,0,0.056,0.788,789010
SEC_000087,290,10.221.247.87,CELL_000,normal,0,12.18,0,0.158,0.778,897576
SEC_000088,197,10.129.171.149,CELL_003,jamming,1,59.96,6,0.779,0.032,97248
SEC_000089,200,10.81.249.124,CELL_001,normal,0,57.18,0,0.184,0.953,715527
SEC_000090,298,10.128.188.177,CELL_002,normal,0,131.53,0,0.156,0.869,688328
SEC_000091,256,10.219.201.36,CELL_000,ddos,1,27.71,4,0.946,0.446,737896
SEC_000092,3,10.161.81.155,CELL_000,normal,0,38.73,0,0.033,0.752,568626
SEC_000093,274,10.161.180.168,CELL_003,normal,0,8.68,0,0.217,0.904,806411
SEC_000094,325,10.126.149.244,CELL_005,normal,0,172.58,0,0.077,0.9,537397
SEC_000095,247,10.146.204.154,CELL_005,normal,0,274.49,0,0.014,0.5,121150
SEC_000096,332,10.72.101.93,CELL_005,normal,0,30.12,0,0.072,0.94,888735
SEC_000097,356,10.197.30.44,CELL_005,normal,0,71.22,1,0.018,0.65,76343
SEC_000098,390,10.154.172.82,CELL_001,normal,0,37.49,2,0.227,0.513,358312
SEC_000099,402,10.2.122.186,CELL_002,spoofing,1,834.16,2,0.803,0.355,899562
SEC_000100,312,10.1.129.113,CELL_002,ddos,1,267.2,0,0.905,0.497,667348
SEC_000101,257,10.161.7.64,CELL_005,normal,0,68.95,0,0.143,0.921,943139
SEC_000102,288,10.84.49.243,CELL_006,normal,0,89.51,0,0.128,0.669,350424
SEC_000103,98,10.247.116.27,CELL_000,normal,0,32.34,0,0.283,0.921,927948
SEC_000104,177,10.123.190.94,CELL_001,ddos,1,74.76,5,0.96,0.472,915911
SEC_000105,28,10.171.197.38,CELL_002,normal,0,120.16,1,0.165,0.789,642870
SEC_000106,152,10.140.225.152,CELL_002,normal,0,26.17,0,0.036,0.55,401770
SEC_000107,292,10.206.203.134,CELL_001,spoofing,1,237.18,1,0.994,0.476,539765
SEC_000108,474,10.56.133.135,CELL_004,spoofing,1,611.29,5,0.908,0.319,471727
SEC_000109,266,10.103.112.166,CELL_002,normal,0,191.24,0,0.166,0.73,749431
SEC_000110,357,10.61.223.117,CELL_005,normal,0,64.44,0,0.155,0.539,488425
SEC_000111,180,10.139.71.170,CELL_006,normal,0,156.61,0,0.236,0.594,134373
SEC_000112,268,10.202.169.74,CELL_002,normal,0,73.29,0,0.17,0.614,322845
SEC_000113,71,10.61.233.147,CELL_000,ddos,1,1253.93,3,0.763,0.21,800498
SEC_000114,65,10.20.141.11,CELL_005,normal,0,157.7,0,0.08,0.524,777317
SEC_000115,285,10.228.72.109,CELL_005,normal,0,24.39,0,0.056,0.643,925037
SEC_000116,392,10.11.155.158,CELL_005,spoofing,1,2307.38,5,0.716,0.352,497704
SEC_000117,102,10.168.98.77,CELL_000,normal,0,16.79,0,0.159,0.677,146752
SEC_000118,318,10.158.48.215,CELL_003,normal,0,4.56,0,0.15,0.719,60915
SEC_000119,199,10.233.107.214,CELL_004,normal,0,275.91,0,0.02,0.705,601838
SEC_000120,494,10.219.1.127,CELL_004,normal,0,26.92,0,0.041,0.904,88316
SEC_000121,120,10.13.175.26,CELL_003,ddos,1,723.73,5,0.907,0.35,886737
SEC_000122,383,10.142.42.250,CELL_001,normal,0,7.35,0,0.114,0.733,659168
SEC_000123,293,10.158.124.113,CELL_003,spoofing,1,126.35,2,0.997,0.367,954805
SEC_000124,315,10.151.226.150,CELL_005,normal,0,0.66,0,0.034,0.748,687585
SEC_000125,23,10.90.0.48,CELL_002,normal,0,87.22,0,0.025,0.687,335147
SEC_000126,283,10.105.18.2,CELL_005,spoofing,1,159.97,1,0.725,0.243,990678
SEC_000127,479,10.126.70.218,CELL_000,normal,0,7.36,0,0.053,0.886,185261
SEC_000128,354,10.252.250.247,CELL_002,normal,0,80.79,0,0.168,0.683,594557
SEC_000129,286,10.121.238.67,CELL_004,normal,0,158.89,0,0.135,0.76,70875
SEC_000130,195,10.159.146.206,CELL_004,normal,0,40.09,0,0.054,0.567,70818
SEC_000131,262,10.34.174.5,CELL_005,normal,0,27.86,0,0.206,0.743,593926
SEC_000132,471,10.249.31.152,CELL_006,normal,0,154.82,0,0.235,0.787,321196
SEC_000133,123,10.31.226.18,CELL_001,normal,0,131.28,0,0.257,0.571,444772
SEC_000134,214,10.64.161.196,CELL_000,normal,0,134.05,0,0.226,0.915,893445
SEC_000135,269,10.199.69.45,CELL_001,normal,0,75.39,1,0.153,0.778,203170
SEC_000136,383,10.3.230.106,CELL_006,normal,0,4.0,0,0.02,0.99,800827
SEC_000137,369,10.49.50.42,CELL_000,normal,0,63.06,0,0.222,0.771,150879
SEC_000138,96,10.14.144.43,CELL_002,normal,0,22.18,0,0.086,0.792,562818
SEC_000139,75,10.214.27.70,CELL_004,normal,0,83.69,1,0.201,0.887,306649
SEC_000140,454,10.14.180.118,CELL_006,normal,0,159.89,0,0.159,0.525,879013
SEC_000141,127,10.230.113.39,CELL_004,normal,0,22.93,0,0.067,0.712,516309
SEC_000142,153,10.230.231.155,CELL_005,normal,0,50.1,0,0.258,0.902,914123
SEC_000143,152,10.58.161.7,CELL_004,normal,0,2.15,0,0.049,0.844,787835
SEC_000144,143,10.137.0.92,CELL_001,normal,0,3.05,0,0.284,0.619,906410
SEC_000145,249,10.180.69.144,CELL_003,normal,0,96.21,0,0.101,0.75,915237
SEC_000146,496,10.247.47.31,CELL_004,normal,0,87.89,0,0.102,0.666,647624
SEC_000147,64,10.188.108.219,CELL_006,normal,0,26.24,0,0.244,0.582,456836
SEC_000148,280,10.162.153.4,CELL_004,normal,0,109.18,0,0.28,0.934,464523
SEC_000149,162,10.175.87.242,CELL_004,normal,0,22.14,0,0.02,0.963,473581
SEC_000150,339,10.14.159.50,CELL_005,normal,0,45.4,0,0.087,0.557,847576
SEC_000151,402,10.235.193.69,CELL_001,normal,0,10.3,0,0.062,0.571,700782
SEC_000152,180,10.230.189.132,CELL_005,normal,0,52.89,1,0.019,0.89,814534
SEC_000153,413,10.103.246.17,CELL_002,normal,0,63.56,0,0.16,0.646,548443
SEC_000154,100,10.13.214.230,CELL_004,normal,0,10.96,0,0.035,0.944,939640
SEC_000155,197,10.46.201.238,CELL_004,normal,0,104.82,0,0.045,0.763,449353
SEC_000156,279,10.86.171.202,CELL_002,normal,0,17.68,0,0.283,0.509,854575
SEC_000157,447,10.135.105.129,CELL_002,normal,0,58.56,0,0.255,0.738,925317
SEC_000158,178,10.167.62.180,CELL_004,normal,0,2.23,0,0.088,0.633,178397
SEC_000159,164,10.223.127.78,CELL_001,normal,0,22.8,0,0.27,0.916,162433
SEC_000160,272,10.244.206.162,CELL_000,pilot_contamination,1,650.24,5,0.957,0.223,584838
SEC_000161,261,10.69.135.173,CELL_001,normal,0,2.18,0,0.149,0.812,445689
SEC_000162,487,10.74.157.221,CELL_004,normal,0,62.59,2,0.094,0.578,22904
SEC_000163,270,10.198.253.114,CELL_005,normal,0,169.69,0,0.194,0.643,895377
SEC_000164,97,10.198.239.4,CELL_002,normal,0,5.17,0,0.085,0.943,613472
SEC_000165,437,10.94.100.243,CELL_005,normal,0,75.27,0,0.143,0.873,265805
SEC_000166,488,10.137.227.186,CELL_002,normal,0,91.72,0,0.186,0.802,231543
SEC_000167,183,10.123.107.18,CELL_000,normal,0,79.38,1,0.174,0.523,12574
SEC_000168,86,10.11.211.88,CELL_002,normal,0,54.85,0,0.115,0.829,58513
SEC_000169,193,10.10.88.18,CELL_004,normal,0,91.65,0,0.288,0.884,140376
SEC_000170,23,10.10.110.12,CELL_004,normal,0,8.67,0,0.216,0.552,683742
SEC_000171,168,10.214.125.116,CELL_002,pilot_contamination,1,1507.24,5,0.767,0.5,577710
SEC_000172,134,10.199.63.127,CELL_003,normal,0,27.28,0,0.289,0.591,884687
SEC_000173,402,10.77.4.135,CELL_003,normal,0,43.43,0,0.169,0.783,28474
SEC_000174,185,10.106.79.252,CELL_000,normal,0,137.73,1,0.264,0.516,644380
SEC_000175,303,10.131.24.16,CELL_003,normal,0,12.48,0,0.078,0.877,585743
SEC_000176,257,10.229.4.155,CELL_000,normal,0,452.88,0,0.258,0.934,832894
SEC_000177,498,10.78.252.180,CELL_000,normal,0,147.5,0,0.236,0.522,222596
SEC_000178,15,10.211.146.113,CELL_000,normal,0,74.72,0,0.044,0.813,292467
SEC_000179,391,10.97.157.150,CELL_000,jamming,1,1755.99,2,0.974,0.295,919652
SEC_000180,101,10.128.134.229,CELL_004,normal,0,92.86,1,0.002,0.632,622886
SEC_000181,308,10.173.181.105,CELL_000,normal,0,107.88,0,0.075,0.635,834279
SEC_000182,240,10.4.116.16,CELL_003,normal,0,50.44,0,0.251,0.742,790654
SEC_000183,452,10.138.201.32,CELL_005,normal,0,48.56,0,0.087,0.897,647242
SEC_000184,29,10.51.191.93,CELL_004,normal,0,57.56,0,0.168,0.781,129639
SEC_000185,182,10.44.103.61,CELL_002,normal,0,176.63,0,0.292,0.604,974005
SEC_000186,184,10.225.120.71,CELL_001,spoofing,1,701.84,4,0.996,0.279,537729
SEC_000187,419,10.32.201.186,CELL_006,normal,0,93.02,0,0.29,0.842,514835
SEC_000188,96,10.205.207.233,CELL_000,jamming,1,401.89,3,0.947,0.113,800409
SEC_000189,83,10.164.171.60,CELL_001,ddos,1,638.55,3,0.728,0.398,430423
SEC_000190,234,10.183.103.167,CELL_006,normal,0,147.92,0,0.024,0.588,421993
SEC_000191,30,10.190.42.99,CELL_006,normal,0,62.62,0,0.021,0.975,156616
SEC_000192,201,10.137.245.137,CELL_002,spoofing,1,1823.29,8,0.944,0.142,300044
SEC_000193,389,10.55.208.126,CELL_006,normal,0,46.92,0,0.299,0.796,738798
SEC_000194,496,10.123.59.77,CELL_005,normal,0,54.02,0,0.08,0.595,64310
SEC_000195,403,10.115.197.224,CELL_000,rogue_gnb,1,686.68,1,0.724,0.111,584613
SEC_000196,351,10.76.61.163,CELL_001,normal,0,17.49,1,0.284,0.821,514586
SEC_000197,447,10.47.155.119,CELL_004,rogue_gnb,1,2364.28,2,0.962,0.155,140907
SEC_000198,406,10.58.22.162,CELL_004,normal,0,154.57,0,0.221,0.503,499767
SEC_000199,193,10.179.219.83,CELL_004,normal,0,42.34,0,0.148,0.881,80382
SEC_000200,23,10.112.75.5,CELL_006,normal,0,69.92,0,0.087,0.889,406637
SEC_000201,302,10.22.113.236,CELL_006,normal,0,296.36,0,0.092,0.531,756000
SEC_000202,270,10.200.37.121,CELL_000,jamming,1,555.31,2,0.896,0.373,631181
SEC_000203,265,10.154.110.120,CELL_001,normal,0,54.39,0,0.003,0.754,366403
SEC_000204,444,10.209.127.229,CELL_004,normal,0,121.2,0,0.111,0.842,398376
SEC_000205,154,10.248.133.97,CELL_001,normal,0,0.22,0,0.285,0.516,281732
SEC_000206,73,10.71.28.143,CELL_005,normal,0,72.48,0,0.145,0.563,333437
SEC_000207,455,10.54.32.5,CELL_005,normal,0,27.99,0,0.186,0.981,875680
SEC_000208,307,10.227.32.247,CELL_000,normal,0,66.36,0,0.268,0.995,329108
SEC_000209,496,10.182.72.17,CELL_005,normal,0,68.96,0,0.002,0.911,934600
SEC_000210,183,10.21.98.109,CELL_001,pilot_contamination,1,473.88,6,0.934,0.201,522146
SEC_000211,358,10.129.110.115,CELL_003,normal,0,63.85,0,0.24,0.609,386988
SEC_000212,399,10.234.236.131,CELL_005,normal,0,78.5,0,0.093,0.739,3972
SEC_000213,404,10.43.141.34,CELL_000,normal,0,236.53,1,0.013,0.765,478232
SEC_000214,287,10.224.9.180,CELL_005,normal,0,197.78,0,0.261,0.717,568858
SEC_000215,254,10.203.80.206,CELL_000,normal,0,333.54,1,0.159,0.877,232440
SEC_000216,171,10.164.155.95,CELL_006,normal,0,412.6,0,0.273,0.964,492569
SEC_000217,278,10.228.228.13,CELL_002,normal,0,11.19,0,0.206,0.936,437320
SEC_000218,396,10.106.88.26,CELL_001,rogue_gnb,1,525.97,3,0.923,0.457,193657
SEC_000219,471,10.95.217.153,CELL_000,normal,0,28.77,1,0.151,0.867,20155
SEC_000220,480,10.123.21.130,CELL_002,normal,0,29.38,0,0.076,0.77,405064
SEC_000221,7,10.221.119.234,CELL_004,jamming,1,435.6,4,0.848,0.315,890070
SEC_000222,126,10.70.62.232,CELL_004,jamming,1,474.7,2,0.814,0.426,197072
SEC_000223,241,10.251.201.216,CELL_005,normal,0,35.35,0,0.274,0.676,639248
SEC_000224,375,10.123.70.225,CELL_002,normal,0,79.7,0,0.244,0.819,106085
SEC_000225,56,10.47.67.148,CELL_005,normal,0,62.42,0,0.074,0.552,599509
SEC_000226,113,10.89.116.57,CELL_000,normal,0,179.8,0,0.247,0.504,7727
SEC_000227,32,10.141.71.14,CELL_001,normal,0,61.94,1,0.141,0.762,805325
SEC_000228,372,10.45.179.192,CELL_001,normal,0,194.3,1,0.21,0.787,2976
SEC_000229,26,10.110.18.2,CELL_006,normal,0,112.45,0,0.039,0.615,661712
SEC_000230,369,10.17.114.61,CELL_004,normal,0,17.3,0,0.08,0.521,149829
SEC_000231,43,10.88.252.28,CELL_005,normal,0,70.15,0,0.192,0.506,189727
SEC_000232,59,10.17.235.69,CELL_005,normal,0,234.45,0,0.264,0.567,122652
SEC_000233,291,10.2.156.63,CELL_003,normal,0,390.67,0,0.094,0.738,673251
SEC_000234,477,10.96.56.136,CELL_001,normal,0,30.93,0,0.255,0.951,30718
SEC_000235,346,10.243.50.218,CELL_003,normal,0,17.3,0,0.022,0.899,411338
SEC_000236,77,10.164.17.102,CELL_000,ddos,1,822.89,3,0.885,0.146,259555
SEC_000237,356,10.253.74.241,CELL_006,normal,0,107.34,0,0.008,0.998,423655
SEC_000238,457,10.253.107.172,CELL_000,normal,0,116.45,0,0.134,0.897,125649
SEC_000239,15,10.38.150.253,CELL_000,normal,0,351.65,0,0.294,0.957,591144
SEC_000240,160,10.41.210.36,CELL_006,normal,0,221.48,0,0.166,0.782,835050
SEC_000241,266,10.75.86.244,CELL_001,normal,0,15.92,0,0.07,0.956,39523
SEC_000242,41,10.28.191.123,CELL_004,normal,0,112.9,0,0.093,0.759,542929
SEC_000243,426,10.76.36.179,CELL_002,normal,0,45.96,0,0.04,0.547,417195
SEC_000244,255,10.248.49.41,CELL_001,normal,0,157.67,0,0.159,0.801,180268
SEC_000245,16,10.196.113.36,CELL_005,normal,0,19.45,1,0.069,0.961,940387
SEC_000246,161,10.216.105.236,CELL_000,rogue_gnb,1,34.68,2,0.941,0.235,575249
SEC_000247,71,10.37.139.111,CELL_006,ddos,1,1122.78,3,0.783,0.354,261868
SEC_000248,48,10.91.210.66,CELL_003,normal,0,63.93,0,0.293,0.55,934872
SEC_000249,320,10.8.102.216,CELL_003,normal,0,97.17,0,0.092,0.653,951025
SEC_000250,177,10.235.200.70,CELL_001,normal,0,113.12,0,0.098,0.944,63136
SEC_000251,195,10.99.151.87,CELL_005,normal,0,55.14,0,0.091,0.634,228964
SEC_000252,61,10.107.233.223,CELL_001,ddos,1,1661.22,3,0.84,0.309,799986
SEC_000253,477,10.150.181.31,CELL_003,spoofing,1,729.86,3,0.873,0.356,330922
SEC_000254,286,10.204.127.182,CELL_006,normal,0,69.16,0,0.043,0.83,28253
SEC_000255,497,10.111.132.120,CELL_001,jamming,1,541.52,4,0.987,0.108,489092
SEC_000256,450,10.132.51.164,CELL_005,normal,0,2.33,0,0.105,0.607,720514
SEC_000257,70,10.120.22.161,CELL_006,normal,0,94.28,0,0.093,0.881,590866
SEC_000258,495,10.144.85.39,CELL_004,normal,0,67.48,1,0.039,0.618,331250
SEC_000259,159,10.84.91.173,CELL_004,normal,0,80.29,0,0.292,0.56,66668
SEC_000260,400,10.93.244.24,CELL_000,normal,0,120.69,0,0.18,0.807,782785
SEC_000261,356,10.7.215.14,CELL_006,spoofing,1,1878.43,5,0.722,0.457,288744
SEC_000262,392,10.50.6.246,CELL_004,normal,0,76.83,0,0.151,0.567,393923
SEC_000263,263,10.248.185.129,CELL_001,normal,0,135.17,0,0.217,0.649,422625
SEC_000264,447,10.226.95.186,CELL_000,normal,0,4.92,0,0.146,0.978,404930
SEC_000265,220,10.178.21.151,CELL_005,normal,0,57.09,0,0.06,0.681,763075
SEC_000266,241,10.234.68.191,CELL_001,normal,0,430.78,0,0.055,0.504,254339
SEC_000267,165,10.112.119.218,CELL_000,normal,0,189.88,1,0.027,0.766,244947
SEC_000268,100,10.136.196.170,CELL_006,normal,0,203.39,0,0.073,0.503,385708
SEC_000269,474,10.175.45.93,CELL_002,normal,0,83.65,0,0.26,0.735,600154
SEC_000270,183,10.18.233.17,CELL_001,normal,0,33.2,0,0.033,0.658,226794
SEC_000271,362,10.48.242.172,CELL_005,normal,0,46.67,0,0.059,0.697,842411
SEC_000272,227,10.230.111.124,CELL_005,normal,0,141.58,0,0.216,0.591,945401
SEC_000273,195,10.208.92.163,CELL_006,normal,0,8.31,0,0.283,0.79,640343
SEC_000274,197,10.105.78.58,CELL_003,normal,0,208.8,0,0.027,0.583,844181
SEC_000275,440,10.6.45.109,CELL_003,rogue_gnb,1,1172.97,2,0.865,0.307,553448
SEC_000276,170,10.37.71.202,CELL_004,normal,0,32.0,0,0.142,0.569,936178
SEC_000277,142,10.244.199.129,CELL_000,normal,0,180.52,0,0.232,0.589,559064
SEC_000278,353,10.115.168.21,CELL_004,normal,0,87.89,1,0.241,0.607,316123
SEC_000279,422,10.124.173.21,CELL_002,normal,0,168.39,0,0.187,0.779,458246
SEC_000280,306,10.6.130.15,CELL_002,normal,0,197.7,0,0.225,0.513,705891
SEC_000281,287,10.70.218.110,CELL_002,normal,0,18.28,0,0.071,0.954,71698
SEC_000282,243,10.124.254.121,CELL_002,normal,0,78.16,0,0.056,0.788,418801
SEC_000283,196,10.55.3.238,CELL_005,normal,0,3.95,0,0.296,0.971,517666
SEC_000284,92,10.243.57.85,CELL_001,normal,0,99.01,0,0.297,0.753,811328
SEC_000285,56,10.218.149.168,CELL_003,normal,0,49.65,0,0.258,0.938,904793
SEC_000286,237,10.201.123.175,CELL_003,normal,0,98.75,0,0.126,0.825,841345
SEC_000287,461,10.47.100.121,CELL_003,normal,0,6.98,0,0.139,0.55,76242
SEC_000288,157,10.153.28.173,CELL_000,normal,0,162.43,0,0.067,0.946,192994
SEC_000289,127,10.123.4.162,CELL_002,normal,0,25.81,0,0.014,0.867,878843
SEC_000290,160,10.173.97.54,CELL_003,normal,0,23.57,0,0.141,0.638,941329
SEC_000291,116,10.126.226.207,CELL_000,normal,0,231.93,0,0.138,0.923,423116
SEC_000292,312,10.198.131.153,CELL_002,normal,0,105.64,0,0.024,0.775,51115
SEC_000293,475,10.107.235.220,CELL_001,ddos,1,533.79,6,0.791,0.075,304051
SEC_000294,493,10.124.224.46,CELL_002,normal,0,145.0,0,0.002,0.793,666125
SEC_000295,385,10.225.60.76,CELL_005,normal,0,75.52,0,0.191,0.691,18633
SEC_000296,208,10.45.129.71,CELL_004,normal,0,60.82,0,0.242,0.902,69511
SEC_000297,142,10.164.0.174,CELL_005,normal,0,25.84,0,0.032,0.564,36084
SEC_000298,412,10.209.0.52,CELL_006,normal,0,52.17,0,0.044,0.543,274257
SEC_000299,10,10.121.19.39,CELL_005,normal,0,51.88,1,0.143,0.556,927918
SEC_000300,212,10.139.185.72,CELL_005,normal,0,33.08,0,0.045,0.635,194330
SEC_000301,374,10.249.229.177,CELL_004,normal,0,27.78,1,0.047,0.531,414145
SEC_000302,229,10.175.115.180,CELL_001,normal,0,114.89,0,0.177,0.638,293942
SEC_000303,378,10.107.75.245,CELL_006,normal,0,5.33,0,0.282,0.612,212749
SEC_000304,233,10.2.17.160,CELL_002,normal,0,39.93,0,0.266,0.604,720742
